policy,required_recall,initial_tools,definition_tokens,unsafe_exposure,model_task_success,model_n
p0_all_eager,1.0,18.0,1235.0,1.0,,0
p1_direct_top1,0.2611111111111111,1.0,62.0,0.0,0.0,15
p2_direct_topk,0.8222222222222223,4.0,289.6666666666667,0.0,,0
p3_family_category,0.6277777777777778,4.0,270.0,0.0,,0
p4_tag_keyword,0.6277777777777778,4.0,270.0,0.0,,0
p5_schema_graph,0.6277777777777778,3.6666666666666665,249.66666666666666,0.0,,0
p6_combined_graph,0.9333333333333332,6.666666666666667,450.3333333333333,0.0,0.0,15
p7_reactive_jit,0.2611111111111111,1.0,62.0,0.0,0.6666666666666666,15
p8_speculative_planning,0.6277777777777778,3.6666666666666665,249.66666666666666,0.0,0.0,15
p9_oracle_capabilities,1.0,4.0,280.0,0.0,0.2,15
