seed,task_id,family,plan_horizon,policy,initial_disclosed_tools,initial_required_recall,completed_steps,task_success,failure_reason,cumulative_definition_tokens,cumulative_prompt_tokens,cumulative_generated_tokens,generation_seconds,result_source
11,m4-user-3,user,3,p1_direct_top1,1,0.3333333333333333,0,False,wrong_call,126,429,44,4.097586000105366,frozen_m4
11,m4-user-3,user,3,p6_combined_graph,6,1.0,0,False,wrong_call,409,532,53,7.07966970000416,m5_static_run
11,m4-user-3,user,3,p7_reactive_jit,1,0.3333333333333333,3,True,,206,744,75,7.284470499726012,frozen_m4
11,m4-user-3,user,3,p8_speculative_planning,3,0.3333333333333333,1,False,wrong_call,410,713,45,5.228068899828941,m5_static_run
11,m4-user-3,user,3,p9_oracle_capabilities,3,1.0,0,False,wrong_call,412,768,105,10.781167299952358,frozen_m4
11,m4-doc-4,document,4,p1_direct_top1,1,0.25,0,False,wrong_call,122,441,51,4.674725599819794,frozen_m4
11,m4-doc-4,document,4,p6_combined_graph,8,1.0,0,False,wrong_call,539,670,23,3.977775399805978,m5_static_run
11,m4-doc-4,document,4,p7_reactive_jit,1,0.25,4,True,,278,1167,107,11.000780900241807,frozen_m4
11,m4-doc-4,document,4,p8_speculative_planning,4,0.75,0,False,wrong_call,265,396,23,2.823708300013095,m5_static_run
11,m4-doc-4,document,4,p9_oracle_capabilities,4,1.0,4,True,,1112,2001,107,14.445217499975115,frozen_m4
11,m4-repo-5,repository,5,p1_direct_top1,1,0.2,0,False,wrong_call,124,449,66,5.9675421002320945,frozen_m4
11,m4-repo-5,repository,5,p6_combined_graph,6,0.8,0,False,wrong_call,403,538,22,3.2998250001110137,m5_static_run
11,m4-repo-5,repository,5,p7_reactive_jit,1,0.2,0,False,wrong_call,123,448,66,5.9950168000068516,frozen_m4
11,m4-repo-5,repository,5,p8_speculative_planning,4,0.8,0,False,wrong_call,279,414,22,2.7957261002156883,m5_static_run
11,m4-repo-5,repository,5,p9_oracle_capabilities,5,1.0,0,False,wrong_call,712,1037,50,6.965333200059831,frozen_m4
23,m4-user-3,user,3,p1_direct_top1,1,0.3333333333333333,0,False,wrong_call,126,487,104,9.260265999939293,frozen_m4
23,m4-user-3,user,3,p6_combined_graph,6,1.0,0,False,wrong_call,409,535,53,6.554629700025544,m5_static_run
23,m4-user-3,user,3,p7_reactive_jit,1,0.3333333333333333,3,True,,206,857,127,11.837366200052202,frozen_m4
23,m4-user-3,user,3,p8_speculative_planning,3,0.3333333333333333,1,False,wrong_call,410,772,108,11.109395300038159,m5_static_run
23,m4-user-3,user,3,p9_oracle_capabilities,3,1.0,0,False,wrong_call,412,774,105,10.826852099969983,frozen_m4
23,m4-doc-4,document,4,p1_direct_top1,1,0.25,0,False,wrong_call,122,447,47,4.367266200017184,frozen_m4
23,m4-doc-4,document,4,p6_combined_graph,8,1.0,0,False,wrong_call,539,673,80,10.675551800057292,m5_static_run
23,m4-doc-4,document,4,p7_reactive_jit,1,0.25,4,True,,278,1179,107,11.045244900276884,frozen_m4
23,m4-doc-4,document,4,p8_speculative_planning,4,0.75,0,False,wrong_call,265,399,80,8.246114799985662,m5_static_run
23,m4-doc-4,document,4,p9_oracle_capabilities,4,1.0,0,False,wrong_call,556,940,111,12.543419699883088,frozen_m4
23,m4-repo-5,repository,5,p1_direct_top1,1,0.2,0,False,wrong_call,124,455,64,5.825054900022224,frozen_m4
23,m4-repo-5,repository,5,p6_combined_graph,6,0.8,0,False,wrong_call,403,541,80,9.473247000016272,m5_static_run
23,m4-repo-5,repository,5,p7_reactive_jit,1,0.2,0,False,wrong_call,123,454,62,5.674520600121468,frozen_m4
23,m4-repo-5,repository,5,p8_speculative_planning,4,0.8,0,False,wrong_call,279,417,80,8.388320700032637,m5_static_run
23,m4-repo-5,repository,5,p9_oracle_capabilities,5,1.0,0,False,wrong_call,712,1103,108,13.10341089987196,frozen_m4
37,m4-user-3,user,3,p1_direct_top1,1,0.3333333333333333,0,False,wrong_call,126,433,45,4.25633109989576,frozen_m4
