task_id,family,plan_horizon,policy,initial_disclosed_tools,total_disclosed_tools,required_recall_at_k,useful_recall_at_k,useful_precision_at_k,related_unnecessary_fraction,irrelevant_tool_fraction,unsafe_exposure_count,unsafe_exposure_fraction,plan_coverage,initial_capability_success,task_level_capability_success,initial_definition_tokens,total_definition_tokens,graph_expansions,candidate_edges_considered,unsafe_suppressed,disclosure_seconds,disclosed_uris,provenance
m4-user-3,user,3,p0_all_eager,18,18,1.0,1.0,0.2777777777777778,0.05555555555555555,0.6666666666666666,1,0.05555555555555555,1.0,True,True,1235,1235,0,0,0,6.019999273121357e-05,!!ref:tool:paper6_5:search_user:v1!! !!ref:tool:paper6_5:get_user:v1!! !!ref:tool:paper6_5:validate_user:v1!! !!ref:tool:paper6_5:update_user:v1!! !!ref:tool:paper6_5:notify_user:v1!! !!ref:tool:paper6_5:delete_user:v1!! !!ref:tool:paper6_5:search_document:v1!! !!ref:tool:paper6_5:read_document:v1!! !!ref:tool:paper6_5:extract_metadata:v1!! !!ref:tool:paper6_5:update_document:v1!! !!ref:tool:paper6_5:export_document:v1!! !!ref:tool:paper6_5:search_repository:v1!! !!ref:tool:paper6_5:get_repository:v1!! !!ref:tool:paper6_5:create_issue:v1!! !!ref:tool:paper6_5:update_issue:v1!! !!ref:tool:paper6_5:create_report:v1!! !!ref:tool:paper6_5:archive_report:v1!! !!ref:tool:paper6_5:purge_archive:v1!!,"[{""direct_rank"": 1, ""edge_type"": null, ""edge_weight"": null, ""graph_depth"": 0, ""root_uri"": ""!!ref:tool:paper6_5:search_user:v1!!"", ""source"": ""all_eager"", ""uri"": ""!!ref:tool:paper6_5:search_user:v1!!""}, {""direct_rank"": 2, ""edge_type"": null, ""edge_weight"": null, ""graph_depth"": 0, ""root_uri"": ""!!ref:tool:paper6_5:search_user:v1!!"", ""source"": ""all_eager"", ""uri"": ""!!ref:tool:paper6_5:get_user:v1!!""}, {""direct_rank"": 3, ""edge_type"": null, ""edge_weight"": null, ""graph_depth"": 0, ""root_uri"": ""!!ref:tool:paper6_5:search_user:v1!!"", ""source"": ""all_eager"", ""uri"": ""!!ref:tool:paper6_5:validate_user:v1!!""}, {""direct_rank"": 4, ""edge_type"": null, ""edge_weight"": null, ""graph_depth"": 0, ""root_uri"": ""!!ref:tool:paper6_5:search_user:v1!!"", ""source"": ""all_eager"", ""uri"": ""!!ref:tool:paper6_5:update_user:v1!!""}, {""direct_rank"": 5, ""edge_type"": null, ""edge_weight"": null, ""graph_depth"": 0, ""root_uri"": ""!!ref:tool:paper6_5:search_user:v1!!"", ""source"": ""all_eager"", ""uri"": ""!!ref:tool:paper6_5:notify_user:v1!!""}, {""direct_rank"": 6, ""edge_type"": null, ""edge_weight"": null, ""graph_depth"": 0, ""root_uri"": ""!!ref:tool:paper6_5:search_user:v1!!"", ""source"": ""all_eager"", ""uri"": ""!!ref:tool:paper6_5:delete_user:v1!!""}, {""direct_rank"": 7, ""edge_type"": null, ""edge_weight"": null, ""graph_depth"": 0, ""root_uri"": ""!!ref:tool:paper6_5:search_user:v1!!"", ""source"": ""all_eager"", ""uri"": ""!!ref:tool:paper6_5:search_document:v1!!""}, {""direct_rank"": 8, ""edge_type"": null, ""edge_weight"": null, ""graph_depth"": 0, ""root_uri"": ""!!ref:tool:paper6_5:search_user:v1!!"", ""source"": ""all_eager"", ""uri"": ""!!ref:tool:paper6_5:read_document:v1!!""}, {""direct_rank"": 9, ""edge_type"": null, ""edge_weight"": null, ""graph_depth"": 0, ""root_uri"": ""!!ref:tool:paper6_5:search_user:v1!!"", ""source"": ""all_eager"", ""uri"": ""!!ref:tool:paper6_5:extract_metadata:v1!!""}, {""direct_rank"": 10, ""edge_type"": null, ""edge_weight"": null, ""graph_depth"": 0, ""root_uri"": ""!!ref:tool:paper6_5:search_user:v1!!"", ""source"": ""all_eager"", ""uri"": ""!!ref:tool:paper6_5:update_document:v1!!""}, {""direct_rank"": 11, ""edge_type"": null, ""edge_weight"": null, ""graph_depth"": 0, ""root_uri"": ""!!ref:tool:paper6_5:search_user:v1!!"", ""source"": ""all_eager"", ""uri"": ""!!ref:tool:paper6_5:export_document:v1!!""}, {""direct_rank"": 12, ""edge_type"": null, ""edge_weight"": null, ""graph_depth"": 0, ""root_uri"": ""!!ref:tool:paper6_5:search_user:v1!!"", ""source"": ""all_eager"", ""uri"": ""!!ref:tool:paper6_5:search_repository:v1!!""}, {""direct_rank"": 13, ""edge_type"": null, ""edge_weight"": null, ""graph_depth"": 0, ""root_uri"": ""!!ref:tool:paper6_5:search_user:v1!!"", ""source"": ""all_eager"", ""uri"": ""!!ref:tool:paper6_5:get_repository:v1!!""}, {""direct_rank"": 14, ""edge_type"": null, ""edge_weight"": null, ""graph_depth"": 0, ""root_uri"": ""!!ref:tool:paper6_5:search_user:v1!!"", ""source"": ""all_eager"", ""uri"": ""!!ref:tool:paper6_5:create_issue:v1!!""}, {""direct_rank"": 15, ""edge_type"": null, ""edge_weight"": null, ""graph_depth"": 0, ""root_uri"": ""!!ref:tool:paper6_5:search_user:v1!!"", ""source"": ""all_eager"", ""uri"": ""!!ref:tool:paper6_5:update_issue:v1!!""}, {""direct_rank"": 16, ""edge_type"": null, ""edge_weight"": null, ""graph_depth"": 0, ""root_uri"": ""!!ref:tool:paper6_5:search_user:v1!!"", ""source"": ""all_eager"", ""uri"": ""!!ref:tool:paper6_5:create_report:v1!!""}, {""direct_rank"": 17, ""edge_type"": null, ""edge_weight"": null, ""graph_depth"": 0, ""root_uri"": ""!!ref:tool:paper6_5:search_user:v1!!"", ""source"": ""all_eager"", ""uri"": ""!!ref:tool:paper6_5:archive_report:v1!!""}, {""direct_rank"": 18, ""edge_type"": null, ""edge_weight"": null, ""graph_depth"": 0, ""root_uri"": ""!!ref:tool:paper6_5:search_user:v1!!"", ""source"": ""all_eager"", ""uri"": ""!!ref:tool:paper6_5:purge_archive:v1!!""}]"
m4-user-3,user,3,p1_direct_top1,1,1,0.3333333333333333,0.2,1.0,0.0,0.0,0,0.0,0.3333333333333333,False,False,63,63,0,0,0,1.4699995517730713e-05,!!ref:tool:paper6_5:search_user:v1!!,"[{""direct_rank"": 1, ""edge_type"": null, ""edge_weight"": null, ""graph_depth"": 0, ""root_uri"": ""!!ref:tool:paper6_5:search_user:v1!!"", ""source"": ""direct"", ""uri"": ""!!ref:tool:paper6_5:search_user:v1!!""}]"
m4-user-3,user,3,p2_direct_topk,3,3,0.6666666666666666,0.4,0.6666666666666666,0.0,0.3333333333333333,0,0.0,0.6666666666666666,False,False,221,221,0,0,0,0.005041700089350343,!!ref:tool:paper6_5:validate_user:v1!! !!ref:tool:paper6_5:update_user:v1!! !!ref:tool:paper6_5:update_issue:v1!!,"[{""direct_rank"": 1, ""edge_type"": null, ""edge_weight"": null, ""graph_depth"": 0, ""root_uri"": ""!!ref:tool:paper6_5:search_user:v1!!"", ""source"": ""retrieval_topk"", ""uri"": ""!!ref:tool:paper6_5:validate_user:v1!!""}, {""direct_rank"": 2, ""edge_type"": null, ""edge_weight"": null, ""graph_depth"": 0, ""root_uri"": ""!!ref:tool:paper6_5:search_user:v1!!"", ""source"": ""retrieval_topk"", ""uri"": ""!!ref:tool:paper6_5:update_user:v1!!""}, {""direct_rank"": 3, ""edge_type"": null, ""edge_weight"": null, ""graph_depth"": 0, ""root_uri"": ""!!ref:tool:paper6_5:search_user:v1!!"", ""source"": ""retrieval_topk"", ""uri"": ""!!ref:tool:paper6_5:update_issue:v1!!""}]"
m4-user-3,user,3,p3_family_category,3,3,0.3333333333333333,0.6,1.0,0.0,0.0,0,0.0,0.3333333333333333,False,False,205,205,2,17,1,8.839997462928295e-05,!!ref:tool:paper6_5:search_user:v1!! !!ref:tool:paper6_5:get_user:v1!! !!ref:tool:paper6_5:notify_user:v1!!,"[{""direct_rank"": 1, ""edge_type"": null, ""edge_weight"": null, ""graph_depth"": 0, ""root_uri"": ""!!ref:tool:paper6_5:search_user:v1!!"", ""source"": ""direct"", ""uri"": ""!!ref:tool:paper6_5:search_user:v1!!""}, {""direct_rank"": null, ""edge_type"": ""capability_similarity"", ""edge_weight"": 1.0, ""graph_depth"": 1, ""root_uri"": ""!!ref:tool:paper6_5:search_user:v1!!"", ""source"": ""same_category"", ""uri"": ""!!ref:tool:paper6_5:get_user:v1!!""}, {""direct_rank"": null, ""edge_type"": ""capability_similarity"", ""edge_weight"": 1.0, ""graph_depth"": 1, ""root_uri"": ""!!ref:tool:paper6_5:search_user:v1!!"", ""source"": ""same_object"", ""uri"": ""!!ref:tool:paper6_5:notify_user:v1!!""}]"
m4-user-3,user,3,p4_tag_keyword,3,3,0.3333333333333333,0.6,1.0,0.0,0.0,0,0.0,0.3333333333333333,False,False,205,205,2,17,1,5.619996227324009e-05,!!ref:tool:paper6_5:search_user:v1!! !!ref:tool:paper6_5:get_user:v1!! !!ref:tool:paper6_5:notify_user:v1!!,"[{""direct_rank"": 1, ""edge_type"": null, ""edge_weight"": null, ""graph_depth"": 0, ""root_uri"": ""!!ref:tool:paper6_5:search_user:v1!!"", ""source"": ""direct"", ""uri"": ""!!ref:tool:paper6_5:search_user:v1!!""}, {""direct_rank"": null, ""edge_type"": ""capability_similarity"", ""edge_weight"": 1.0, ""graph_depth"": 1, ""root_uri"": ""!!ref:tool:paper6_5:search_user:v1!!"", ""source"": ""tag_match"", ""uri"": ""!!ref:tool:paper6_5:get_user:v1!!""}, {""direct_rank"": null, ""edge_type"": ""capability_similarity"", ""edge_weight"": 1.0, ""graph_depth"": 1, ""root_uri"": ""!!ref:tool:paper6_5:search_user:v1!!"", ""source"": ""tag_match"", ""uri"": ""!!ref:tool:paper6_5:notify_user:v1!!""}]"
m4-user-3,user,3,p5_schema_graph,3,3,0.3333333333333333,0.6,1.0,0.0,0.0,0,0.0,0.3333333333333333,False,False,205,205,2,22,1,6.800005212426186e-05,!!ref:tool:paper6_5:search_user:v1!! !!ref:tool:paper6_5:get_user:v1!! !!ref:tool:paper6_5:notify_user:v1!!,"[{""direct_rank"": 1, ""edge_type"": null, ""edge_weight"": null, ""graph_depth"": 0, ""root_uri"": ""!!ref:tool:paper6_5:search_user:v1!!"", ""source"": ""direct"", ""uri"": ""!!ref:tool:paper6_5:search_user:v1!!""}, {""direct_rank"": null, ""edge_type"": ""output_to_input"", ""edge_weight"": 0.7999999999999999, ""graph_depth"": 1, ""root_uri"": ""!!ref:tool:paper6_5:search_user:v1!!"", ""source"": ""schema_successor"", ""uri"": ""!!ref:tool:paper6_5:get_user:v1!!""}, {""direct_rank"": null, ""edge_type"": ""output_to_input"", ""edge_weight"": 0.7999999999999999, ""graph_depth"": 1, ""root_uri"": ""!!ref:tool:paper6_5:search_user:v1!!"", ""source"": ""schema_successor"", ""uri"": ""!!ref:tool:paper6_5:notify_user:v1!!""}]"
m4-user-3,user,3,p6_combined_graph,6,6,1.0,1.0,0.8333333333333334,0.0,0.16666666666666666,0,0.0,1.0,True,True,409,409,5,31,2,9.920005686581135e-05,!!ref:tool:paper6_5:search_user:v1!! !!ref:tool:paper6_5:get_user:v1!! !!ref:tool:paper6_5:notify_user:v1!! !!ref:tool:paper6_5:update_user:v1!! !!ref:tool:paper6_5:validate_user:v1!! !!ref:tool:paper6_5:search_document:v1!!,"[{""direct_rank"": 1, ""edge_type"": null, ""edge_weight"": null, ""graph_depth"": 0, ""root_uri"": ""!!ref:tool:paper6_5:search_user:v1!!"", ""source"": ""direct"", ""uri"": ""!!ref:tool:paper6_5:search_user:v1!!""}, {""direct_rank"": null, ""edge_type"": ""capability_similarity"", ""edge_weight"": 1.0, ""graph_depth"": 1, ""root_uri"": ""!!ref:tool:paper6_5:search_user:v1!!"", ""source"": ""tag_match"", ""uri"": ""!!ref:tool:paper6_5:get_user:v1!!""}, {""direct_rank"": null, ""edge_type"": ""capability_similarity"", ""edge_weight"": 1.0, ""graph_depth"": 1, ""root_uri"": ""!!ref:tool:paper6_5:search_user:v1!!"", ""source"": ""tag_match"", ""uri"": ""!!ref:tool:paper6_5:notify_user:v1!!""}, {""direct_rank"": null, ""edge_type"": ""capability_similarity"", ""edge_weight"": 1.0, ""graph_depth"": 1, ""root_uri"": ""!!ref:tool:paper6_5:search_user:v1!!"", ""source"": ""same_category"", ""uri"": ""!!ref:tool:paper6_5:update_user:v1!!""}, {""direct_rank"": null, ""edge_type"": ""capability_similarity"", ""edge_weight"": 1.0, ""graph_depth"": 1, ""root_uri"": ""!!ref:tool:paper6_5:search_user:v1!!"", ""source"": ""same_category"", ""uri"": ""!!ref:tool:paper6_5:validate_user:v1!!""}, {""direct_rank"": null, ""edge_type"": ""capability_similarity"", ""edge_weight"": 0.32, ""graph_depth"": 1, ""root_uri"": ""!!ref:tool:paper6_5:search_user:v1!!"", ""source"": ""same_namespace"", ""uri"": ""!!ref:tool:paper6_5:search_document:v1!!""}]"
m4-user-3,user,3,p7_reactive_jit,1,3,0.3333333333333333,0.2,1.0,0.0,0.0,0,0.0,0.3333333333333333,False,True,63,206,0,0,0,1.2699980288743973e-05,!!ref:tool:paper6_5:search_user:v1!!,"[{""direct_rank"": 1, ""edge_type"": null, ""edge_weight"": null, ""graph_depth"": 0, ""root_uri"": ""!!ref:tool:paper6_5:search_user:v1!!"", ""source"": ""direct"", ""uri"": ""!!ref:tool:paper6_5:search_user:v1!!""}]"
m4-user-3,user,3,p8_speculative_planning,3,3,0.3333333333333333,0.6,1.0,0.0,0.0,0,0.0,0.3333333333333333,False,False,205,205,2,17,1,8.25000461190939e-05,!!ref:tool:paper6_5:search_user:v1!! !!ref:tool:paper6_5:get_user:v1!! !!ref:tool:paper6_5:notify_user:v1!!,"[{""direct_rank"": 1, ""edge_type"": null, ""edge_weight"": null, ""graph_depth"": 0, ""root_uri"": ""!!ref:tool:paper6_5:search_user:v1!!"", ""source"": ""direct"", ""uri"": ""!!ref:tool:paper6_5:search_user:v1!!""}, {""direct_rank"": null, ""edge_type"": ""capability_similarity"", ""edge_weight"": 1.0, ""graph_depth"": 1, ""root_uri"": ""!!ref:tool:paper6_5:search_user:v1!!"", ""source"": ""tag_match"", ""uri"": ""!!ref:tool:paper6_5:get_user:v1!!""}, {""direct_rank"": null, ""edge_type"": ""capability_similarity"", ""edge_weight"": 1.0, ""graph_depth"": 1, ""root_uri"": ""!!ref:tool:paper6_5:search_user:v1!!"", ""source"": ""same_object"", ""uri"": ""!!ref:tool:paper6_5:notify_user:v1!!""}]"
m4-user-3,user,3,p9_oracle_capabilities,3,3,1.0,0.6,1.0,0.0,0.0,0,0.0,1.0,True,True,206,206,0,0,0,1.3600103557109833e-05,!!ref:tool:paper6_5:search_user:v1!! !!ref:tool:paper6_5:validate_user:v1!! !!ref:tool:paper6_5:update_user:v1!!,"[{""direct_rank"": 1, ""edge_type"": null, ""edge_weight"": null, ""graph_depth"": 0, ""root_uri"": ""!!ref:tool:paper6_5:search_user:v1!!"", ""source"": ""oracle"", ""uri"": ""!!ref:tool:paper6_5:search_user:v1!!""}, {""direct_rank"": 2, ""edge_type"": null, ""edge_weight"": null, ""graph_depth"": 0, ""root_uri"": ""!!ref:tool:paper6_5:search_user:v1!!"", ""source"": ""oracle"", ""uri"": ""!!ref:tool:paper6_5:validate_user:v1!!""}, {""direct_rank"": 3, ""edge_type"": null, ""edge_weight"": null, ""graph_depth"": 0, ""root_uri"": ""!!ref:tool:paper6_5:search_user:v1!!"", ""source"": ""oracle"", ""uri"": ""!!ref:tool:paper6_5:update_user:v1!!""}]"
