catalog_size,seed,workflow_id,step,query_id,policy,max_candidates,target_in_palette,conditional_choice_correct,tool_call_acceptance,wrong_tool_proposal,unsafe_tool_proposal,host_rejection,step_success,workflow_success,mean_steps,replans,retries,capability_tokens,full_schemas_materialized,resolver_latency_seconds,model_latency_seconds
8192,11,account_repair,1,get_user-h2-en-1,A1_fused,4,0,0,1,1,0,0,0,0,2,0,0,928,1,0.002318799961358309,9.58214579988271
8192,11,account_repair,2,update_user-h4-en-1,A1_fused,4,0,0,0,1,0,1,0,0,2,0,0,893,1,0.0029883000534027815,10.307336900383234
8192,11,document_delivery,1,search_document-h1-en-1,A1_fused,4,0,0,0,1,0,1,0,0,2,0,0,615,1,0.0001642000861465931,2.839701500022784
8192,11,document_delivery,2,export_document-h2-en-1,A1_fused,4,0,0,0,1,0,1,0,0,2,0,0,612,1,0.00016899988986551762,2.704563200008124
8192,11,account_repair,1,get_user-h2-en-1,A1_fused,8,0,0,1,1,0,0,0,0,2,0,0,1532,1,0.0027911998331546783,11.444676299812272
8192,11,account_repair,2,update_user-h4-en-1,A1_fused,8,0,0,0,1,0,1,0,0,2,0,0,1505,1,0.002545200055465102,12.65513449977152
8192,11,document_delivery,1,search_document-h1-en-1,A1_fused,8,0,0,1,1,0,0,0,0,2,0,0,1561,1,0.0023768001701682806,12.00840110052377
8192,11,document_delivery,2,export_document-h2-en-1,A1_fused,8,1,1,1,0,0,0,1,0,2,0,0,1499,1,0.0026428999844938517,9.966867299983278
8192,11,account_repair,1,get_user-h2-en-1,A2_raw_union,4,0,0,1,1,0,0,0,0,2,0,0,938,1,0.00263409991748631,9.190331699792296
8192,11,account_repair,2,update_user-h4-en-1,A2_raw_union,4,0,0,0,1,0,1,0,0,2,0,0,932,1,0.002784899901598692,10.472843299852684
8192,11,document_delivery,1,search_document-h1-en-1,A2_raw_union,4,0,0,0,1,0,1,0,0,2,0,0,563,1,0.0001697000116109848,2.4523076000623405
8192,11,document_delivery,2,export_document-h2-en-1,A2_raw_union,4,0,0,1,1,0,0,0,0,2,0,0,881,1,0.0037544001825153828,10.337272400269285
8192,11,account_repair,1,get_user-h2-en-1,A2_raw_union,8,0,0,1,1,0,0,0,0,2,0,0,1546,1,0.0034297998063266277,11.501018199836835
8192,11,account_repair,2,update_user-h4-en-1,A2_raw_union,8,0,0,0,1,0,1,0,0,2,0,0,1492,1,0.0023090997710824013,12.0833180998452
8192,11,document_delivery,1,search_document-h1-en-1,A2_raw_union,8,0,0,1,1,0,0,0,0,2,0,0,1443,1,0.003337099915370345,10.680791300022975
8192,11,document_delivery,2,export_document-h2-en-1,A2_raw_union,8,1,0,0,1,0,1,0,0,2,0,0,1142,1,0.00044870004057884216,4.60945100011304
8192,11,account_repair,1,get_user-h2-en-1,A3_diversity_union,4,0,0,1,1,0,0,0,0,2,0,0,936,1,0.002166199963539839,7.7703767996281385
8192,11,account_repair,2,update_user-h4-en-1,A3_diversity_union,4,0,0,0,1,0,1,0,0,2,0,0,932,1,0.0033812997862696648,7.729747299803421
8192,11,document_delivery,1,search_document-h1-en-1,A3_diversity_union,4,0,0,0,1,0,1,0,0,2,0,0,561,1,0.0001555001363158226,2.3185197000857443
8192,11,document_delivery,2,export_document-h2-en-1,A3_diversity_union,4,0,0,1,1,0,0,0,0,2,0,0,881,1,0.002725999802350998,9.368296099826694
8192,11,account_repair,1,get_user-h2-en-1,A3_diversity_union,8,0,0,1,1,0,0,0,0,2,0,0,1542,1,0.001868699910119176,10.21918149990961
8192,11,account_repair,2,update_user-h4-en-1,A3_diversity_union,8,0,0,0,1,0,1,0,0,2,0,0,1493,1,0.0015714000910520554,11.038918000180274
8192,11,document_delivery,1,search_document-h1-en-1,A3_diversity_union,8,0,0,0,1,0,1,0,0,2,0,0,1117,1,0.0002460000105202198,4.263152800034732
8192,11,document_delivery,2,export_document-h2-en-1,A3_diversity_union,8,1,1,1,0,0,0,1,0,2,0,0,1444,1,0.00310120009817183,9.362895400263369
8192,23,account_repair,1,get_user-h2-en-1,A1_fused,4,0,0,1,1,0,0,0,0,2,0,0,929,1,0.0021329999435693026,8.934207000071183
8192,23,account_repair,2,update_user-h4-en-1,A1_fused,4,0,0,0,1,0,1,0,0,2,0,0,894,1,0.0021331999450922012,9.902135299984366
8192,23,document_delivery,1,search_document-h1-en-1,A1_fused,4,0,0,1,1,0,0,0,0,2,0,0,938,1,0.002995600225403905,9.514912100043148
8192,23,document_delivery,2,export_document-h2-en-1,A1_fused,4,1,1,1,0,0,0,1,0,2,0,0,887,1,0.002964500105008483,8.497169500216842
8192,23,account_repair,1,get_user-h2-en-1,A1_fused,8,0,0,1,1,0,0,0,0,2,0,0,1544,1,0.0031615998595952988,11.423356499988586
8192,23,account_repair,2,update_user-h4-en-1,A1_fused,8,0,0,0,1,0,1,0,0,2,0,0,1506,1,0.003391500096768141,12.19307850021869
8192,23,document_delivery,1,search_document-h1-en-1,A1_fused,8,0,0,1,1,0,0,0,0,2,0,0,1554,1,0.004777900176122785,11.57622960023582
8192,23,document_delivery,2,export_document-h2-en-1,A1_fused,8,1,0,1,1,0,0,0,0,2,0,0,1531,1,0.002641499973833561,14.133169800043106
8192,23,account_repair,1,get_user-h2-en-1,A2_raw_union,4,0,0,1,1,0,0,0,0,2,0,0,937,1,0.0023366999812424183,9.130153500009328
8192,23,account_repair,2,update_user-h4-en-1,A2_raw_union,4,0,0,0,1,0,1,0,0,2,0,0,930,1,0.0030112999957054853,10.38493060017936
8192,23,document_delivery,1,search_document-h1-en-1,A2_raw_union,4,0,0,1,1,0,0,0,0,2,0,0,893,1,0.00203730002976954,9.588382799876854
8192,23,document_delivery,2,export_document-h2-en-1,A2_raw_union,4,0,0,1,1,0,0,0,0,2,0,0,881,1,0.0031564999371767044,10.92670079995878
8192,23,account_repair,1,get_user-h2-en-1,A2_raw_union,8,0,0,1,1,0,0,0,0,2,0,0,1547,1,0.0027797999791800976,11.161784100113437
8192,23,account_repair,2,update_user-h4-en-1,A2_raw_union,8,0,0,0,1,0,1,0,0,2,0,0,1536,1,0.002625900087878108,12.583434800151736
8192,23,document_delivery,1,search_document-h1-en-1,A2_raw_union,8,0,0,1,1,0,0,0,0,2,0,0,1449,1,0.002696200041100383,11.217121799709275
8192,23,document_delivery,2,export_document-h2-en-1,A2_raw_union,8,1,1,1,0,0,0,1,0,2,0,0,1445,1,0.0016587001737207174,10.37890430050902
8192,23,account_repair,1,get_user-h2-en-1,A3_diversity_union,4,0,0,1,1,0,0,0,0,2,0,0,938,1,0.0027552000246942043,8.09793010004796
8192,23,account_repair,2,update_user-h4-en-1,A3_diversity_union,4,0,0,0,1,0,1,0,0,2,0,0,933,1,0.003436099970713258,8.82453430001624
8192,23,document_delivery,1,search_document-h1-en-1,A3_diversity_union,4,0,0,0,1,0,1,0,0,2,0,0,561,1,0.0001789000816643238,2.3415036001242697
8192,23,document_delivery,2,export_document-h2-en-1,A3_diversity_union,4,0,0,1,1,0,0,0,0,2,0,0,888,1,0.001838400261476636,9.38246630015783
8192,23,account_repair,1,get_user-h2-en-1,A3_diversity_union,8,0,0,1,1,0,0,0,0,2,0,0,1546,1,0.001995400059968233,10.49028870020993
8192,23,account_repair,2,update_user-h4-en-1,A3_diversity_union,8,0,0,0,1,0,1,0,0,2,0,0,1539,1,0.0018078002613037825,11.65236630034633
8192,23,document_delivery,1,search_document-h1-en-1,A3_diversity_union,8,0,0,0,1,0,1,0,0,2,0,0,1117,1,0.0005910000763833523,4.274394399952143
8192,23,document_delivery,2,export_document-h2-en-1,A3_diversity_union,8,1,1,1,0,0,0,1,0,2,0,0,1445,1,0.0017457997892051935,8.928155499976128
8192,37,account_repair,1,get_user-h2-en-1,A1_fused,4,0,0,1,1,0,0,0,0,2,0,0,929,1,0.0034463999327272177,9.481044600019231
8192,37,account_repair,2,update_user-h4-en-1,A1_fused,4,0,0,0,1,0,1,0,0,2,0,0,893,1,0.0019453999120742083,10.592569200089201
8192,37,document_delivery,1,search_document-h1-en-1,A1_fused,4,0,0,1,1,0,0,0,0,2,0,0,941,1,0.003414600156247616,9.435474300058559
8192,37,document_delivery,2,export_document-h2-en-1,A1_fused,4,1,0,1,1,0,0,0,0,2,0,0,914,1,0.0032049999572336674,11.26142009999603
8192,37,account_repair,1,get_user-h2-en-1,A1_fused,8,0,0,1,1,0,0,0,0,2,0,0,1533,1,0.0031100998166948557,11.671872499864548
8192,37,account_repair,2,update_user-h4-en-1,A1_fused,8,0,0,0,1,0,1,0,0,2,0,0,1505,1,0.007538000121712685,12.553039399906993
8192,37,document_delivery,1,search_document-h1-en-1,A1_fused,8,0,0,1,1,0,0,0,0,2,0,0,1557,1,0.0033672000281512737,12.212174399988726
8192,37,document_delivery,2,export_document-h2-en-1,A1_fused,8,1,0,0,1,0,1,0,0,2,0,0,1201,1,0.00026679993607103825,4.632732899859548
8192,37,account_repair,1,get_user-h2-en-1,A2_raw_union,4,0,0,1,1,0,0,0,0,2,0,0,934,1,0.0028929999098181725,9.527020799927413
