catalog_size,max_candidates,policy,candidate_view,examples,catalog_seeds,target_in_palette_count,correct_choice_count,retrieval_recall,conditional_choice_accuracy,end_to_end_choice_accuracy,unsafe_exposure,unsafe_choice_rate,selection_view_tokens,all_candidate_full_tokens,model_choice_seconds
32,2,A0_bm25,compact,8,1,1,0,0.125,0.0,0.0,0.375,0.25,257.375,597.375,4.463239300035639
32,2,A1_fused,compact,8,1,5,3,0.625,0.6,0.375,0.125,0.125,243.0,582.5,3.052577262482373
32,2,A2_raw_union,compact,8,1,5,3,0.625,0.6,0.375,0.25,0.0,248.75,589.375,2.5542430999921635
32,2,A3_diversity_union,compact,8,1,3,0,0.375,0.0,0.0,0.375,0.375,240.625,578.0,3.1156465124804527
32,4,A0_bm25,compact,8,1,5,1,0.625,0.2,0.125,0.5,0.375,501.25,1185.125,4.4659529000055045
32,4,A1_fused,compact,8,1,8,5,1.0,0.625,0.625,0.25,0.0,487.5,1162.875,4.43207229996915
32,4,A2_raw_union,compact,8,1,6,3,0.75,0.5,0.375,0.375,0.0,492.125,1167.25,4.406468487519305
32,4,A3_diversity_union,compact,8,1,6,0,0.75,0.0,0.0,0.375,0.375,492.75,1169.375,4.576486437465064
32,6,A0_bm25,compact,8,1,5,1,0.625,0.2,0.125,0.75,0.25,780.625,1811.625,5.641227587533649
32,6,A1_fused,compact,8,1,8,4,1.0,0.5,0.5,0.375,0.0,757.5,1777.625,5.450190862553427
32,6,A2_raw_union,compact,8,1,6,3,0.75,0.5,0.375,0.375,0.0,750.75,1768.375,5.214091962523526
32,6,A3_diversity_union,compact,8,1,6,1,0.75,0.16666666666666666,0.125,0.375,0.25,749.25,1765.75,5.186969100061106
32,8,A0_bm25,compact,8,1,6,1,0.75,0.16666666666666666,0.125,0.875,0.125,1015.625,2383.625,5.461469125031726
32,8,A1_fused,compact,8,1,8,4,1.0,0.5,0.5,0.5,0.0,1024.75,2394.25,6.030043049977394
32,8,A2_raw_union,compact,8,1,8,3,1.0,0.375,0.375,0.375,0.0,1012.0,2371.5,5.882850262481952
32,8,A3_diversity_union,compact,8,1,8,0,1.0,0.0,0.0,0.625,0.25,1006.25,2365.5,5.78535138751613
32,10,A0_bm25,compact,8,1,6,1,0.75,0.16666666666666666,0.125,1.0,0.25,1261.75,2963.5,6.258347424969543
32,10,A1_fused,compact,8,1,8,4,1.0,0.5,0.5,0.5,0.0,1274.125,2979.75,6.297706987475976
32,10,A2_raw_union,compact,8,1,8,2,1.0,0.25,0.25,0.75,0.0,1263.125,2966.0,6.340286812541308
32,10,A3_diversity_union,compact,8,1,8,1,1.0,0.125,0.125,0.875,0.25,1262.375,2965.0,6.3825457250350155
128,2,A0_bm25,compact,8,1,2,1,0.25,0.5,0.125,0.125,0.125,270.375,614.0,4.637987012509257
128,2,A1_fused,compact,8,1,5,3,0.625,0.6,0.375,0.125,0.125,262.625,606.375,3.563226374943042
128,2,A2_raw_union,compact,8,1,3,2,0.375,0.6666666666666666,0.25,0.0,0.0,269.875,612.625,3.7281651374942157
128,2,A3_diversity_union,compact,8,1,3,1,0.375,0.3333333333333333,0.125,0.125,0.125,264.75,610.0,3.568816187500488
128,4,A0_bm25,compact,8,1,2,2,0.25,1.0,0.25,0.5,0.125,553.375,1244.25,5.213520574965514
128,4,A1_fused,compact,8,1,6,3,0.75,0.5,0.375,0.125,0.0,537.75,1225.0,5.016921125003137
128,4,A1_fused,full_all,4,1,3,2,0.75,0.6666666666666666,0.5,0.0,0.0,542.0,1225.25,20.860808124998584
128,4,A2_raw_union,compact,8,1,4,1,0.5,0.25,0.125,0.125,0.125,556.125,1250.625,5.25214648747351
128,4,A2_raw_union,full_all,4,1,1,0,0.25,0.0,0.0,0.0,0.0,564.0,1257.25,21.21528344997205
128,4,A3_diversity_union,compact,8,1,4,2,0.5,0.5,0.25,0.125,0.0,556.25,1251.25,5.352617412514519
128,6,A0_bm25,compact,8,1,2,2,0.25,1.0,0.25,0.625,0.125,852.75,1897.375,6.237623075052397
