catalog_size,seed,elapsed_seconds,callable_generation_ms,inspection_and_view_ms,a2_score_mean_ms,a2_score_p95_ms,a4_score_mean_ms,a4_score_p95_ms,lexical_index_build_ms,bm25_score_mean_ms,bm25_score_p95_ms,embedding_build_ms,embedding_score_amortized_ms
32,11,1.2067272001877427,1.6685000155121088,172.97319998033345,0.6138,0.7324,1.4656,2.2274,14.934599865227938,1.0755625,2.1233,75.66950004547834,0.5007125
32,23,1.00737649993971,1.1820001527667046,174.4858999736607,0.6790375,1.1125,1.6338125,2.153,14.997099991887808,0.6831,1.106,72.46980001218617,0.2171625
32,37,0.9329762000124902,1.9821000751107931,160.82119988277555,0.6358875,0.9118,1.4883,1.9935,17.770699923858047,0.8019000000000001,2.2187,71.46520004607737,0.05355
32,53,0.9819423998706043,0.5909998435527086,107.34230000525713,0.550825,0.7859,1.5376625,1.7639,17.716499976813793,0.94225,2.0395,66.30919990129769,0.1498375
32,71,1.2393638000357896,1.8257000483572483,400.44860006310046,0.6249625,1.1333,1.6102125,3.6342,18.19509989582002,0.6850625,1.0928,70.77689981088042,0.0363875
128,11,2.504195800051093,9.532000171020627,579.0594001300633,1.9574875,3.9844,2.148,2.9963,80.52990003488958,1.935,3.9629,487.12010006420314,0.0676375
128,23,2.4239229999948293,5.745999980717897,472.27579983882606,1.577975,3.1434,2.0609,3.7175,98.88300020247698,2.7092625,5.8848,435.328199993819,0.0448
128,37,2.6720073998440057,8.383800042793155,621.8657998833805,2.0529125,3.2267,2.4208250000000002,3.125,83.25979998335242,1.6877375,3.0764,426.8720999825746,0.0382375
128,53,2.8940822000149637,9.972000028938055,951.2310000136495,1.693675,2.5808,2.1058375,3.7332,79.25099995918572,1.3250875,2.3358,462.39160001277924,0.0436125
128,71,2.68587170005776,6.411100039258599,616.6309001855552,1.692525,2.2783,2.0573125,2.6391,80.48830018378794,1.7559500000000001,3.3437,424.27219985984266,0.041875
512,11,7.533872199943289,34.94519996456802,2171.517499955371,5.557275,7.9616,5.314825,7.0016,320.1354998163879,7.27065,16.6511,1370.2100000809878,0.0785125
512,23,7.45559970010072,27.828700141981244,2505.5585999507457,6.2018,8.412,5.51835,7.9032,299.92890008725226,8.1313625,16.5082,1210.05200012587,0.039575
512,37,7.646443299949169,26.52319986373186,2736.3597999792546,5.5047875,7.9921,4.577625,6.6927,226.90030001103878,7.4181,15.384,1227.2042001131922,0.0578625
512,53,7.131406399887055,18.948399927467108,2245.734800118953,6.055525,10.8951,4.9233625,5.9898,323.70609999634326,8.2273625,14.6024,1202.7426999993622,0.0546375
512,71,7.890261200023815,49.90620003081858,2921.6349001508206,5.965125,7.3043,4.575225,5.9724,403.1150001101196,7.5385625,11.1661,1216.5230000391603,0.061475
2048,11,25.74813530012034,114.51819981448352,10809.552300022915,19.9597375,29.2578,17.52845,20.2283,1377.1367999725044,27.934725,52.4348,4600.028099957854,0.0998625
2048,23,25.36812730017118,116.02659989148378,10333.403900032863,26.515925,30.6406,19.972475,22.8856,1464.2956000752747,25.8909125,43.518,4609.846299979836,0.212775
2048,37,25.68040190008469,110.15070020221174,9865.318900207058,27.325175,34.8923,21.5182,28.831,1361.3718999549747,23.1341125,44.161,4596.43859998323,0.0839875
2048,53,27.631454200018197,224.04260002076626,12549.081599805504,23.5568625,29.0068,18.128462499999998,26.5053,1577.312899986282,26.08825,48.8584,4514.840699965134,0.0718
2048,71,25.94515629997477,114.0397998970002,10218.283200170845,25.8085,33.4604,17.894425,20.3811,1330.4630001075566,29.1336875,53.255,4912.307299906388,0.097925
8192,11,93.87107250001281,463.67369988001883,39826.375500066206,100.7295875,127.7196,77.7021125,96.6214,5282.642199890688,117.9771625,263.3238,18205.947099952027,0.3166875
8192,23,94.81117930007167,1263.7715002056211,38916.401100112125,94.2478875,122.077,72.4088375,84.2504,6991.803100099787,108.3628625,260.7537,17808.04969999008,0.32405
8192,37,95.4510935000144,409.9987999070436,41966.420700075105,93.8261,112.2335,77.5510875,90.949,5511.226299917325,101.9076625,184.5536,18019.65419994667,0.2567625
8192,53,98.79933279985562,366.11069994978607,43712.0296000503,95.1340375,133.424,74.509075,85.3002,6543.037599883974,127.977225,244.3246,17876.864799996838,0.2134125
8192,71,95.77859320002608,465.85489995777607,40657.75380004197,95.7099,121.0071,72.33047499999999,86.6528,6579.327499959618,127.602275,245.2768,17906.786300009117,0.2342
