catalog_size,max_candidates,policy,condition,examples,catalog_seeds,target_in_palette,capability_choice_correct,schema_valid_call,required_argument_coverage,argument_semantic_correct,enum_type_valid,execution_acceptance,host_rejection,task_success,unsafe_tool_choice,phase_a_capability_tokens,phase_b_capability_tokens,total_capability_tokens,native_kv_bytes,full_schemas_materialized,full_schema_tokens_avoided,disclosure_ratio_a,disclosure_ratio_total,total_ttft_seconds,wall_clock_seconds,materialization_seconds
512,4,A1_fused,C0_full_all_one_pass,4,1,0.75,0.25,0.75,0.25,0.25,1.0,0.75,0.25,0.25,0.0,1270.0,0.0,1270.0,145653760.0,4.0,1267.0,1.0023702609683878,1.0023702609683878,3.243535849964246,9.62877782509895,0.0002572750672698021
512,4,A1_fused,C1_compact_only,4,1,0.75,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,574.5,0.0,574.5,65888256.0,0.0,1267.0,0.4531046664877152,0.4531046664877152,1.487496674992144,4.606242650013883,0.0003281999961473048
512,4,A1_fused,C2_compact_to_full,4,1,0.75,0.5,0.75,0.5,0.25,1.0,0.75,0.25,0.25,0.0,574.5,230.25,804.75,92295168.0,1.0,1036.75,0.4531046664877152,0.637518540339599,1.832165849977173,7.020669149875175,0.0015727999852970243
512,4,A1_fused,C3_oracle_to_full,4,1,0.75,1.0,1.0,1.0,0.75,1.0,1.0,0.0,0.75,0.0,277.5,0.0,277.5,31825920.0,1.0,1267.0,0.21935092938710515,0.21935092938710515,0.5570600249920972,5.029819149989635,0.00011765002273023129
512,4,A2_raw_union,C0_full_all_one_pass,4,1,0.25,0.25,0.75,0.25,0.25,1.0,0.75,0.25,0.25,0.0,1261.5,0.0,1261.5,144678912.0,4.0,1258.5,1.0023856117726881,1.0023856117726881,1.519320150022395,6.498257650062442,0.0002635500277392566
512,4,A2_raw_union,C1_compact_only,4,1,0.25,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,566.75,0.0,566.75,64999424.0,0.0,1258.5,0.4500744705988733,0.4500744705988733,1.4425367999938317,3.7119121499708854,0.00042877497617155313
512,4,A2_raw_union,C2_compact_to_full,4,1,0.25,0.25,0.5,0.5,0.5,1.0,0.5,0.5,0.25,0.0,566.75,239.75,806.5,92495872.0,1.0,1018.75,0.4500744705988733,0.6403990601198049,1.802028474980034,6.905812199867796,0.0020648498903028667
512,4,A2_raw_union,C3_oracle_to_full,4,1,0.25,1.0,1.0,1.0,0.75,1.0,1.0,0.0,0.75,0.0,277.5,0.0,277.5,31825920.0,1.0,1258.5,0.22099799671360398,0.22099799671360398,0.6207255250192247,4.869727400131524,0.00012737506767734885
512,8,A1_fused,C0_full_all_one_pass,4,1,1.0,0.5,0.75,0.5,0.5,1.0,0.75,0.25,0.5,0.0,2534.0,0.0,2534.0,290619392.0,8.0,2527.0,1.002771309457409,1.002771309457409,3.1465312499785796,9.067852399952244,0.00048257497837767005
512,8,A1_fused,C1_compact_only,4,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1147.75,0.0,1147.75,131633152.0,0.0,2527.0,0.4540471414144654,0.4540471414144654,3.2553788999211974,6.066438074922189,0.00037827494088560343
512,8,A1_fused,C2_compact_to_full,4,1,1.0,0.25,0.75,0.25,0.25,1.0,0.75,0.25,0.25,0.0,1147.75,303.5,1451.25,166440960.0,1.0,2223.5,0.4540471414144654,0.5741916549689912,3.716109075001441,10.061512375075836,0.0032595251104794443
512,8,A1_fused,C3_oracle_to_full,4,1,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.0,0.75,0.0,277.5,0.0,277.5,31825920.0,1.0,2527.0,0.10982219168014848,0.10982219168014848,0.5574911500443704,4.807543574948795,0.00020337494788691401
512,8,A2_raw_union,C0_full_all_one_pass,4,1,0.25,0.25,0.75,0.25,0.25,1.0,0.75,0.25,0.25,0.0,2566.75,0.0,2566.75,294375424.0,8.0,2559.75,1.0027357097003275,1.0027357097003275,3.1918935499852523,8.093305949994829,0.0005227000219747424
512,8,A2_raw_union,C1_compact_only,4,1,0.25,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1167.0,0.0,1167.0,133840896.0,0.0,2559.75,0.45579747689028016,0.45579747689028016,3.320616625016555,6.129848549957387,0.0010192249319516122
