catalog_size,seed,query_id,policy,max_candidates,full_choice_correct,compact_choice_correct,full_unsafe_choice,compact_unsafe_choice,full_tokens,compact_tokens,compact_full_ratio
128,11,get_user-h2-en-1,A1_fused,4,1,1,0,0,1238,558,0.4507269789983845
128,11,get_user-h2-en-1,A1_fused,8,1,1,0,0,2499,1118,0.44737895158063223
128,11,get_user-h2-en-1,A1_fused,10,1,1,0,0,3151,1422,0.4512853062519835
128,11,get_user-h2-en-1,A2_raw_union,4,0,0,0,0,1314,606,0.4611872146118721
128,11,get_user-h2-en-1,A2_raw_union,8,0,0,0,0,2554,1162,0.4549725920125294
128,11,get_user-h2-en-1,A2_raw_union,10,0,0,0,0,3206,1467,0.4575795383655646
128,11,update_user-h4-en-1,A1_fused,4,0,0,0,0,1143,476,0.41644794400699914
128,11,update_user-h4-en-1,A1_fused,8,0,0,1,1,2399,1038,0.4326802834514381
128,11,update_user-h4-en-1,A1_fused,10,0,0,0,0,3012,1301,0.43193891102257637
128,11,update_user-h4-en-1,A2_raw_union,4,0,0,0,0,1253,560,0.44692737430167595
128,11,update_user-h4-en-1,A2_raw_union,8,0,0,0,0,2526,1131,0.4477434679334917
128,11,update_user-h4-en-1,A2_raw_union,10,0,0,1,0,3048,1340,0.43963254593175854
128,11,search_document-h1-en-1,A1_fused,4,0,0,0,0,1239,552,0.44552058111380144
128,11,search_document-h1-en-1,A1_fused,8,0,0,0,0,2416,1060,0.43874172185430466
128,11,search_document-h1-en-1,A1_fused,10,0,0,0,0,3071,1365,0.4444806252035168
128,11,search_document-h1-en-1,A2_raw_union,4,0,0,0,0,1252,561,0.4480830670926518
128,11,search_document-h1-en-1,A2_raw_union,8,0,0,0,0,2496,1117,0.44751602564102566
128,11,search_document-h1-en-1,A2_raw_union,10,0,0,0,0,3082,1370,0.4445165476963011
128,11,export_document-h2-en-1,A1_fused,4,1,1,0,0,1281,582,0.45433255269320844
128,11,export_document-h2-en-1,A1_fused,8,0,1,0,0,2599,1190,0.4578684109272797
128,11,export_document-h2-en-1,A1_fused,10,0,1,0,0,3259,1500,0.46026388462718626
128,11,export_document-h2-en-1,A2_raw_union,4,0,0,0,0,1210,529,0.4371900826446281
128,11,export_document-h2-en-1,A2_raw_union,8,0,0,0,0,2523,1140,0.4518430439952438
128,11,export_document-h2-en-1,A2_raw_union,10,0,0,0,0,3191,1451,0.45471638984644314
512,11,get_user-h2-en-1,A1_fused,4,0,0,0,0,1243,565,0.45454545454545453
512,11,get_user-h2-en-1,A1_fused,8,0,0,0,0,2552,1167,0.4572884012539185
512,11,get_user-h2-en-1,A1_fused,10,0,0,0,0,3208,1471,0.4585411471321696
512,11,get_user-h2-en-1,A2_raw_union,4,0,0,0,0,1312,606,0.46189024390243905
512,11,get_user-h2-en-1,A2_raw_union,8,0,0,0,0,2634,1216,0.4616552771450266
512,11,get_user-h2-en-1,A2_raw_union,10,0,0,0,0,3293,1520,0.4615851806863043
512,11,update_user-h4-en-1,A1_fused,4,0,0,0,0,1215,525,0.43209876543209874
512,11,update_user-h4-en-1,A1_fused,8,0,0,0,0,2461,1087,0.4416903697683868
512,11,update_user-h4-en-1,A1_fused,10,0,0,0,0,3120,1393,0.446474358974359
512,11,update_user-h4-en-1,A2_raw_union,4,0,0,0,0,1253,560,0.44692737430167595
512,11,update_user-h4-en-1,A2_raw_union,8,0,0,0,0,2576,1168,0.453416149068323
512,11,update_user-h4-en-1,A2_raw_union,10,0,0,0,0,3234,1470,0.45454545454545453
512,11,search_document-h1-en-1,A1_fused,4,0,0,0,0,1321,615,0.46555639666919
512,11,search_document-h1-en-1,A1_fused,8,0,0,0,0,2495,1115,0.4468937875751503
512,11,search_document-h1-en-1,A1_fused,10,0,0,0,0,3168,1430,0.4513888888888889
512,11,search_document-h1-en-1,A2_raw_union,4,0,0,0,0,1255,561,0.4470119521912351
512,11,search_document-h1-en-1,A2_raw_union,8,0,0,0,0,2500,1117,0.4468
512,11,search_document-h1-en-1,A2_raw_union,10,0,0,0,0,3162,1423,0.45003162555344717
512,11,export_document-h2-en-1,A1_fused,4,1,1,0,0,1289,581,0.45073700543056633
512,11,export_document-h2-en-1,A1_fused,8,1,1,0,0,2600,1194,0.4592307692307692
