resource_type,query_id,max_candidates,target_in_candidates,candidate_count,all_candidate_full_tokens,phase_a_selection_tokens,phase_b_selected_full_tokens,progressive_tokens,full_candidate_tokens_avoided,tokens_saved,token_savings_fraction,disclosure_ratio,total_disclosure_ratio
tool,get_user-h2-en-1,2,1,2,454,165,229,394,225,60,0.13215859030837004,0.3634361233480176,0.8678414096916299
tool,get_user-h2-en-1,4,1,4,937,345,229,574,708,363,0.3874066168623266,0.368196371398079,0.6125933831376734
tool,get_user-h2-en-1,6,1,6,1402,514,229,743,1173,659,0.47004279600570614,0.3666191155492154,0.5299572039942939
tool,get_user-h2-en-1,8,1,8,1870,688,229,917,1641,953,0.5096256684491979,0.3679144385026738,0.4903743315508021
tool,get_user-h2-en-1,18,1,18,4235,1567,229,1796,4006,2439,0.5759149940968122,0.37001180637544273,0.4240850059031877
tool,update_user-h4-en-1,2,1,2,472,173,242,415,230,57,0.12076271186440678,0.3665254237288136,0.8792372881355932
tool,update_user-h4-en-1,4,1,4,940,348,242,590,698,350,0.3723404255319149,0.3702127659574468,0.6276595744680851
tool,update_user-h4-en-1,6,1,6,1411,525,242,767,1169,644,0.45641389085754785,0.3720765414599575,0.5435861091424522
tool,update_user-h4-en-1,8,1,8,1897,706,242,948,1655,949,0.5002635740643121,0.37216657880864523,0.49973642593568796
tool,update_user-h4-en-1,18,1,18,4235,1567,242,1809,3993,2426,0.5728453364817001,0.37001180637544273,0.4271546635182999
tool,search_document-h1-en-1,2,0,2,457,170,230,400,227,57,0.12472647702407003,0.37199124726477023,0.87527352297593
tool,search_document-h1-en-1,4,1,4,913,335,230,565,683,348,0.38116100766703176,0.3669222343921139,0.6188389923329682
tool,search_document-h1-en-1,6,1,6,1375,506,230,736,1145,639,0.4647272727272727,0.368,0.5352727272727272
tool,search_document-h1-en-1,8,1,8,1850,680,230,910,1620,940,0.5081081081081081,0.3675675675675676,0.4918918918918919
tool,search_document-h1-en-1,18,1,18,4235,1567,230,1797,4005,2438,0.5756788665879575,0.37001180637544273,0.42432113341204253
tool,export_document-h2-en-1,2,1,2,476,174,244,418,232,58,0.12184873949579832,0.36554621848739494,0.8781512605042017
tool,export_document-h2-en-1,4,1,4,950,349,244,593,706,357,0.3757894736842105,0.36736842105263157,0.6242105263157894
tool,export_document-h2-en-1,6,1,6,1420,524,244,768,1176,652,0.4591549295774648,0.36901408450704226,0.5408450704225352
tool,export_document-h2-en-1,8,1,8,1889,699,244,943,1645,946,0.5007940709370037,0.3700370566437268,0.49920592906299627
tool,export_document-h2-en-1,18,1,18,4235,1567,244,1811,3991,2424,0.5723730814639906,0.37001180637544273,0.4276269185360094
tool,create_issue-h1-en-1,2,1,2,483,179,240,419,243,64,0.13250517598343686,0.37060041407867494,0.8674948240165632
tool,create_issue-h1-en-1,4,1,4,964,357,240,597,724,367,0.38070539419087135,0.3703319502074689,0.6192946058091287
tool,create_issue-h1-en-1,6,1,6,1440,532,240,772,1200,668,0.4638888888888889,0.36944444444444446,0.5361111111111111
