resource_type,max_candidates,condition,cases,quality_cases,context_fit_rate,required_recall_at_k,phase_a_tokens,phase_b_tokens,total_capability_tokens,all_candidate_full_tokens,candidate_full_tokens_avoided,total_disclosure_ratio,native_kv_mib,model_invocations,ttft_seconds,transition_seconds,materialization_seconds,wall_clock_seconds,capability_choice_correct,wrong_skill_use,instruction_following_success,constraint_violation,task_success
skill,2,S0_full_all,8,8,1.000000,0.875000,921.375000,0.000000,921.375000,921.375000,0.000000,1.000000,100.775391,1.000000,2.331833,0.000000,0.000267,13.105964,0.750000,0.250000,0.875000,0.000000,0.625000
skill,2,S1_selection_only,8,8,1.000000,0.875000,199.875000,0.000000,199.875000,921.375000,721.500000,0.216948,21.861328,1.000000,0.559495,0.000000,0.000207,6.784746,0.000000,0.000000,0.000000,0.000000,0.000000
skill,2,S2_selection_to_full,8,8,1.000000,0.875000,199.875000,402.750000,602.625000,921.375000,318.750000,0.653619,65.912109,1.875000,1.535076,0.002983,0.003165,11.333200,0.625000,0.375000,0.875000,0.000000,0.625000
skill,2,S3_oracle_full,8,8,1.000000,0.875000,460.625000,0.000000,460.625000,921.375000,460.750000,0.499916,50.380859,1.000000,1.131024,0.000000,0.000267,11.269015,1.000000,0.000000,1.000000,0.000000,1.000000
skill,4,S0_full_all,8,8,1.000000,0.875000,1852.625000,0.000000,1852.625000,1852.625000,0.000000,1.000000,202.630859,1.000000,6.085490,0.000000,0.000477,24.793773,0.750000,0.250000,1.000000,0.000000,0.750000
skill,4,S1_selection_only,8,8,1.000000,0.875000,402.375000,0.000000,402.375000,1852.625000,1450.250000,0.217184,44.009766,1.000000,0.966369,0.000000,0.000341,9.358790,0.000000,0.000000,0.000000,0.000000,0.000000
skill,4,S2_selection_to_full,8,8,1.000000,0.875000,402.375000,402.625000,805.000000,1852.625000,1047.625000,0.434648,88.046875,1.875000,1.941833,0.003143,0.003329,12.737911,0.625000,0.375000,0.875000,0.000000,0.625000
skill,4,S3_oracle_full,8,8,1.000000,0.875000,460.625000,0.000000,460.625000,1852.625000,1392.000000,0.248633,50.380859,1.000000,1.143557,0.000000,0.000250,11.062394,1.000000,0.000000,1.000000,0.000000,1.000000
skill,6,S0_full_all,8,8,1.000000,0.875000,2794.000000,0.000000,2794.000000,2794.000000,0.000000,1.000000,305.593750,1.000000,12.924925,0.000000,0.000744,34.737379,0.750000,0.250000,0.875000,0.000000,0.625000
skill,6,S1_selection_only,8,8,1.000000,0.875000,606.625000,0.000000,606.625000,2794.000000,2187.375000,0.217119,66.349609,1.000000,1.517526,0.000000,0.000288,9.600850,0.000000,0.000000,0.000000,0.000000,0.000000
skill,6,S2_selection_to_full,8,8,1.000000,0.875000,606.625000,460.500000,1067.125000,2794.000000,1726.875000,0.381925,116.716797,2.000000,2.717251,0.002877,0.003220,15.912363,0.500000,0.500000,0.750000,0.000000,0.500000
skill,6,S3_oracle_full,8,8,1.000000,0.875000,460.625000,0.000000,460.625000,2794.000000,2333.375000,0.164861,50.380859,1.000000,1.140650,0.000000,0.000186,11.006444,1.000000,0.000000,1.000000,0.000000,1.000000
skill,8,S0_full_all,8,8,1.000000,1.000000,3728.750000,0.000000,3728.750000,3728.750000,0.000000,1.000000,407.832031,1.000000,32.641083,0.000000,0.000783,63.870080,0.625000,0.375000,1.000000,0.000000,0.625000
skill,8,S1_selection_only,8,8,1.000000,1.000000,808.250000,0.000000,808.250000,3728.750000,2920.500000,0.216765,88.402344,1.000000,1.984012,0.000000,0.000376,10.404694,0.000000,0.000000,0.000000,0.000000,0.000000
skill,8,S2_selection_to_full,8,8,1.000000,1.000000,808.250000,461.625000,1269.875000,3728.750000,2458.875000,0.340558,138.892578,2.000000,3.193759,0.003100,0.003575,15.900038,0.625000,0.375000,0.875000,0.000000,0.625000
skill,8,S3_oracle_full,8,8,1.000000,1.000000,460.625000,0.000000,460.625000,3728.750000,3268.125000,0.123533,50.380859,1.000000,1.151571,0.000000,0.000207,11.146761,1.000000,0.000000,1.000000,0.000000,1.000000
skill,25,S0_full_all,8,0,0.000000,1.000000,,,,11702.000000,,,,,,,,,,,,,
skill,25,S1_selection_only,8,8,1.000000,1.000000,2527.000000,0.000000,2527.000000,11702.000000,9175.000000,0.215946,276.390625,1.000000,10.342827,0.000000,0.000864,33.697247,0.000000,0.000000,0.000000,0.000000,0.000000
skill,25,S2_selection_to_full,8,8,1.000000,1.000000,2527.000000,401.500000,2928.500000,11702.000000,8773.500000,0.250256,320.304688,1.875000,11.379384,0.002651,0.003395,23.978331,0.500000,0.500000,0.750000,0.000000,0.500000
skill,25,S3_oracle_full,8,8,1.000000,1.000000,460.625000,0.000000,460.625000,11702.000000,11241.375000,0.039363,50.380859,1.000000,1.152931,0.000000,0.000150,11.161151,1.000000,0.000000,1.000000,0.000000,1.000000
