engine,dataset,regime,condition,examples,exact_match,token_f1,gold_answer_logprob,evidence_recall,candidate_tokens,selected_source_tokens,visible_prompt_tokens,selected_native_kv_tokens,active_detail_mib,retained_detail_mib,text_preparation_ms,kv_encode_ms,index_construction_ms,time_to_usable_context_ms,cold_end_to_end_ttft_ms,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,itl_mean_ms,tokens_per_second,requests_per_second,cold_end_to_end_completion_ms,completion_p50_ms,completion_p95_ms,completion_p99_ms,ordinary_prefix_cache_hit_tokens,pra_hot_hit_rate,pra_warm_hit_rate,bytes_read,bytes_promoted,bytes_avoided,duplicate_physical_kv_avoided_bytes
vllm-metal,2wikimultihopqa,cold_one_shot,e0_selected_text,20,0.05,0.15536037491919844,,0.775,952.65,336.0,369.15,0.0,0.0,0.0,8.72850619489327,,,123.53363120928407,,,,,,66.8265710998789,,365.0005540228449,296.62675003055483,329.3372898129747,413.82075795438124,336.0,0.0,0.0,0.0,0.0,0.0,0.0
vllm-metal,2wikimultihopqa,cold_one_shot,e2_native_kv,20,0.05,0.15536037491919844,,0.775,952.65,336.0,33.15,336.0,10.5,10.5,8.72850619489327,113.3764709229581,4.145333508495241,126.25031062634662,,,,,,70.01631076164874,,354.3702148832381,289.21706252731383,308.52060480974615,312.5622210931033,0.0,0.0,0.0,11010048.0,0.0,0.0,0.0
vllm-metal,2wikimultihopqa,concurrent_shared_resource,e0_selected_text,160,0.01875,0.1301048341063821,,0.775,952.65,336.0,369.025,0.0,0.0,0.0,8.72850619489327,,,123.53363120928407,,,,,,48.38403686164384,23.81507121580461,,419.5016248850152,458.980050345417,465.9698330797255,362.0,0.0,0.0,0.0,0.0,0.0,0.0
vllm-metal,2wikimultihopqa,concurrent_shared_resource,e2_native_kv,160,0.01875,0.1301048341063821,,0.775,952.65,336.0,33.025,336.0,10.5,10.5,8.72850619489327,113.3764709229581,4.145333508495241,126.25031062634662,,,,,,49.020045641732914,24.260636132258544,,415.2901879278943,457.35765419667575,461.77095803432167,26.0,1.0,0.0,11010048.0,0.0,11010048.0,9633792.0
vllm-metal,2wikimultihopqa,multi_query_same_resource,e0_selected_text,60,0.016666666666666666,0.1289348008659154,,0.775,952.65,336.0,369.15,0.0,0.0,0.0,8.72850619489327,,,123.53363120928407,,,,,,75.33307122748457,,,289.0895626042038,314.99013690045103,366.0243181744588,344.8,0.0,0.0,0.0,0.0,0.0,0.0
vllm-metal,2wikimultihopqa,multi_query_same_resource,e2_native_kv,60,0.016666666666666666,0.1289348008659154,,0.775,952.65,336.0,33.15,336.0,10.5,10.5,8.72850619489327,113.3764709229581,4.145333508495241,126.25031062634662,,,,,,75.7408053557384,,,292.20945853739977,310.9871956403367,312.34493798576295,8.8,1.0,0.0,11010048.0,0.0,11010048.0,11010048.0
vllm-metal,2wikimultihopqa,warm_repeated,e0_selected_text,40,0.05,0.15536037491919844,,0.775,952.65,336.0,369.15,0.0,0.0,0.0,8.72850619489327,,,123.53363120928407,,,,,,76.91169098576177,,,271.33285405579954,302.05958558944985,307.0151746715419,362.4,0.0,0.0,0.0,0.0,0.0,0.0
vllm-metal,2wikimultihopqa,warm_repeated,e2_native_kv,40,0.05,0.15536037491919844,,0.775,952.65,336.0,33.15,336.0,10.5,10.5,8.72850619489327,113.3764709229581,4.145333508495241,126.25031062634662,,,,,,76.1222235012646,,,274.7041455004364,303.77975405426696,309.4160455535166,26.4,1.0,0.0,11010048.0,0.0,11010048.0,11010048.0
vllm-metal,hotpotqa,cold_one_shot,e0_selected_text,20,0.1,0.3489423076923077,,0.725,1366.9,374.4,412.95,0.0,0.0,0.0,9.800437313970178,,,129.72589351702482,,,,,,58.30761525826089,,295.0648229336366,115.99212547298521,315.4185360413976,317.0841072150506,374.4,0.0,0.0,0.0,0.0,0.0,0.0
vllm-metal,hotpotqa,cold_one_shot,e2_native_kv,20,0.1,0.3489423076923077,,0.725,1366.9,374.4,38.55,374.4,11.7,11.7,9.800437313970178,119.7569333249703,3.3576958812773228,132.9150665202178,,,,,,59.982334848993474,,294.48584358906373,110.01010402105749,311.1361983115785,311.59077325602993,0.0,0.0,0.0,12268339.2,0.0,0.0,0.0
