engine,dataset,regime,condition,examples,exact_match,token_f1,gold_answer_logprob,evidence_recall,candidate_tokens,selected_source_tokens,visible_prompt_tokens,selected_native_kv_tokens,active_detail_mib,retained_detail_mib,text_preparation_ms,kv_encode_ms,index_construction_ms,time_to_usable_context_ms,cold_end_to_end_ttft_ms,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,itl_mean_ms,tokens_per_second,requests_per_second,cold_end_to_end_completion_ms,completion_p50_ms,completion_p95_ms,completion_p99_ms,ordinary_prefix_cache_hit_tokens,pra_hot_hit_rate,pra_warm_hit_rate,bytes_read,bytes_promoted,bytes_avoided,duplicate_physical_kv_avoided_bytes
vllm-metal,2wikimultihopqa,cold_one_shot,e0_selected_text,20,0.0,0.08484126984126984,,0.775,1011.05,344.8,378.25,0.0,0.0,0.0,9.964547923300415,,,128.40831257635728,,,,,,63.670765792262145,,507.29055433766916,383.6437710560858,403.5773079376668,404.4585288967937,344.8,0.0,0.0,0.0,0.0,0.0,0.0
vllm-metal,2wikimultihopqa,cold_one_shot,e2_native_kv,20,0.0,0.08484126984126984,,0.775,1011.05,344.8,33.45,344.8,37.7125,37.7125,9.964547923300415,120.17273954115808,6.98588308878243,137.12317055324093,,,,,,63.22214675972171,,517.4048268003389,382.43222900200635,396.4550227392465,402.24847164936364,0.0,0.0,0.0,39544422.4,0.0,0.0,0.0
vllm-metal,2wikimultihopqa,concurrent_shared_resource,e0_selected_text,160,0.0,0.07856292078234803,,0.775,1011.05,344.8,378.125,0.0,0.0,0.0,9.964547923300415,,,128.40831257635728,,,,,,45.87696524059389,15.29232174686463,,522.9563334723935,561.4483732148072,566.6131670586765,370.8,0.0,0.0,0.0,0.0,0.0,0.0
vllm-metal,2wikimultihopqa,concurrent_shared_resource,e2_native_kv,160,0.0,0.07856292078234803,,0.775,1011.05,344.8,33.325,344.8,37.7125,37.7125,9.964547923300415,120.17273954115808,6.98588308878243,137.12317055324093,,,,,,46.37276582234419,15.457588607448063,,514.6693123970181,550.5654866923578,552.0915838424116,26.0,1.0,0.0,39544422.4,0.0,39544422.4,34601369.6
vllm-metal,2wikimultihopqa,multi_query_same_resource,e0_selected_text,60,0.0,0.0735480654250004,,0.775,1011.05,344.8,378.25,0.0,0.0,0.0,9.964547923300415,,,128.40831257635728,,,,,,64.82997832396619,,,378.29356256406754,394.596120971255,403.5544394515455,353.6,0.0,0.0,0.0,0.0,0.0,0.0
vllm-metal,2wikimultihopqa,multi_query_same_resource,e2_native_kv,60,0.0,0.0735480654250004,,0.775,1011.05,344.8,33.45,344.8,37.7125,37.7125,9.964547923300415,120.17273954115808,6.98588308878243,137.12317055324093,,,,,,65.71153339333247,,,372.3395209526643,392.27006701985374,395.39382381597534,8.8,1.0,0.0,39544422.4,0.0,39544422.4,39544422.4
vllm-metal,2wikimultihopqa,warm_repeated,e0_selected_text,40,0.0,0.07788220551378447,,0.775,1011.05,344.8,378.25,0.0,0.0,0.0,9.964547923300415,,,128.40831257635728,,,,,,66.71527156686238,,,360.0009579677135,385.8298100531101,448.342406139709,371.2,0.0,0.0,0.0,0.0,0.0,0.0
vllm-metal,2wikimultihopqa,warm_repeated,e2_native_kv,40,0.0,0.07788220551378447,,0.775,1011.05,344.8,33.45,344.8,37.7125,37.7125,9.964547923300415,120.17273954115808,6.98588308878243,137.12317055324093,,,,,,67.32995922848782,,,354.07868737820536,382.976495847106,392.8512359596789,26.4,1.0,0.0,39544422.4,0.0,39544422.4,39544422.4
vllm-metal,hotpotqa,cold_one_shot,e0_selected_text,20,0.0,0.09228338001867413,,0.725,1435.0,377.6,416.65,0.0,0.0,0.0,12.781175051350147,,,139.69512714538723,,,,,,61.3551042927085,,531.3057770719752,393.6213329434395,405.91941635357216,408.8048833445646,377.6,0.0,0.0,0.0,0.0,0.0,0.0
vllm-metal,hotpotqa,cold_one_shot,e2_native_kv,20,0.0,0.09228338001867413,,0.725,1435.0,377.6,39.05,377.6,41.3,41.3,12.781175051350147,125.50817715236917,6.719912448897958,145.00926465261728,,,,,,62.26527462412049,,530.8737500454299,387.94985448475927,403.3332433318719,405.6118822423741,0.0,0.0,0.0,43306188.8,0.0,0.0,0.0
vllm-metal,hotpotqa,concurrent_shared_resource,e0_selected_text,160,0.0,0.11534056344169583,,0.725,1435.0,377.6,416.525,0.0,0.0,0.0,12.781175051350147,,,139.69512714538723,,,,,,44.73817468324685,14.912724894415614,,524.4366880506277,572.3166728159391,695.4993340186775,409.2,0.0,0.0,0.0,0.0,0.0,0.0
vllm-metal,hotpotqa,concurrent_shared_resource,e2_native_kv,160,0.0,0.11534056344169583,,0.725,1435.0,377.6,38.925,377.6,41.3,41.3,12.781175051350147,125.50817715236917,6.719912448897958,145.00926465261728,,,,,,45.71439360887075,15.238131202956916,,519.9763540877029,548.3930557616986,548.9419579971582,31.6,1.0,0.0,43306188.8,0.0,43306188.8,37892915.2
vllm-metal,hotpotqa,multi_query_same_resource,e0_selected_text,60,0.0,0.11858132668271987,,0.725,1435.0,377.6,416.65,0.0,0.0,0.0,12.781175051350147,,,139.69512714538723,,,,,,63.217561985082504,,,383.7673539528623,409.137913887389,409.54473620513454,388.0,0.0,0.0,0.0,0.0,0.0,0.0
vllm-metal,hotpotqa,multi_query_same_resource,e2_native_kv,60,0.0,0.11858132668271987,,0.725,1435.0,377.6,39.05,377.6,41.3,41.3,12.781175051350147,125.50817715236917,6.719912448897958,145.00926465261728,,,,,,62.882550949686724,,,381.39002106618136,408.48597269505257,488.2008128007873,10.4,1.0,0.0,43306188.8,0.0,43306188.8,43306188.8
vllm-metal,hotpotqa,warm_repeated,e0_selected_text,40,0.0,0.09199098235785542,,0.725,1435.0,377.6,416.65,0.0,0.0,0.0,12.781175051350147,,,139.69512714538723,,,,,,66.48737734611943,,,362.67602094449103,384.4656957546249,398.0184309813194,408.8,0.0,0.0,0.0,0.0,0.0,0.0
vllm-metal,hotpotqa,warm_repeated,e2_native_kv,40,0.0,0.09199098235785542,,0.725,1435.0,377.6,39.05,377.6,41.3,41.3,12.781175051350147,125.50817715236917,6.719912448897958,145.00926465261728,,,,,,65.99283124576256,,,361.98535410221666,383.54494191007683,403.85572630446404,31.2,1.0,0.0,43306188.8,0.0,43306188.8,43306188.8
vllm-metal,qasper,cold_one_shot,e0_selected_text,20,0.0,0.10315484028641923,,0.34791666666666665,5139.95,372.0,400.05,0.0,0.0,0.0,28.944297949783504,,,154.0268000564538,,,,,,63.081851349766026,,534.6925313817337,380.13291638344526,395.65977514721453,396.18645508773625,372.0,0.0,0.0,0.0,0.0,0.0,0.0
vllm-metal,qasper,cold_one_shot,e2_native_kv,20,0.0,0.10315484028641923,,0.34791666666666665,5139.95,372.0,28.05,372.0,40.6875,40.6875,28.944297949783504,124.61431478150189,6.801647902466357,160.36026063375175,,,,,,63.88317071253299,,536.4043376641348,378.8057705387473,386.7103061405942,402.39819483365864,0.0,0.0,0.0,42663936.0,0.0,0.0,0.0
vllm-metal,qasper,concurrent_shared_resource,e0_selected_text,160,0.0,0.09994434084224024,,0.34791666666666665,5139.95,372.0,399.925,0.0,0.0,0.0,28.944297949783504,,,154.0268000564538,,,,,,44.90827030498086,14.969423434993619,,538.9146875822917,553.5651397076434,559.552791994065,390.3,0.0,0.0,0.0,0.0,0.0,0.0
vllm-metal,qasper,concurrent_shared_resource,e2_native_kv,160,0.0,0.09994434084224024,,0.34791666666666665,5139.95,372.0,27.925,372.0,40.6875,40.6875,28.944297949783504,124.61431478150189,6.801647902466357,160.36026063375175,,,,,,45.271454231372246,15.090484743790748,,536.0626250039786,545.7271559862418,562.610040884465,18.3,1.0,0.0,42663936.0,0.0,42663936.0,37330944.0
vllm-metal,qasper,multi_query_same_resource,e0_selected_text,60,0.0,0.09526700728066996,,0.34791666666666665,5139.95,372.0,400.05,0.0,0.0,0.0,28.944297949783504,,,154.0268000564538,,,,,,64.28118092143431,,,375.23591646458954,391.4608563645743,399.1920035355724,378.1333333333333,0.0,0.0,0.0,0.0,0.0,0.0
vllm-metal,qasper,multi_query_same_resource,e2_native_kv,60,0.0,0.09526700728066996,,0.34791666666666665,5139.95,372.0,28.05,372.0,40.6875,40.6875,28.944297949783504,124.61431478150189,6.801647902466357,160.36026063375175,,,,,,64.73838818713945,,,376.31502095609903,388.6883983388543,395.8027229900472,6.133333333333334,1.0,0.0,42663936.0,0.0,42663936.0,42663936.0
vllm-metal,qasper,warm_repeated,e0_selected_text,40,0.0,0.0830037681616629,,0.34791666666666665,5139.95,372.0,400.05,0.0,0.0,0.0,28.944297949783504,,,154.0268000564538,,,,,,65.92949823483796,,,364.89437497220933,385.1462443708442,386.7140695685521,390.4,0.0,0.0,0.0,0.0,0.0,0.0
vllm-metal,qasper,warm_repeated,e2_native_kv,40,0.0,0.0830037681616629,,0.34791666666666665,5139.95,372.0,28.05,372.0,40.6875,40.6875,28.944297949783504,124.61431478150189,6.801647902466357,160.36026063375175,,,,,,66.38434066398787,,,363.2843750528991,380.7320541702211,381.73454713076353,18.4,1.0,0.0,42663936.0,0.0,42663936.0,42663936.0
