case_class,case_id,controller_fingerprint,controller_protocol,decision_correct,description_level,expected_action,fixed_description_token_estimate,generated_tokens,insufficiency_correct,latency_seconds,model,model_passes,need_more_predicted,need_more_target,omission_stratum,operation_correct,predicted_action,prompt_tokens,protocol_revision,raw,seed,sufficiency_output,thinking
C0_CONTINUE,c0-billing,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,1,D0,CONTINUE,124,12,1,19.285826000152156,qwen3:0.6b,1,0,0,compact_explicit,1,CONTINUE,597,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""CONTINUE""}",11,flat,0
C0_CONTINUE,c0-billing,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,1,D0,CONTINUE,124,12,1,0.9509248998947442,qwen3:0.6b,1,0,0,compact_explicit,1,CONTINUE,597,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""CONTINUE""}",23,flat,0
C0_CONTINUE,c0-billing,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,1,D0,CONTINUE,124,12,1,0.9713677999097854,qwen3:0.6b,1,0,0,compact_explicit,1,CONTINUE,597,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""CONTINUE""}",37,flat,0
C0_CONTINUE,c0-billing,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,1,D0,CONTINUE,124,12,1,0.976241199998185,qwen3:0.6b,1,0,0,compact_explicit,1,CONTINUE,597,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""CONTINUE""}",53,flat,0
C0_CONTINUE,c0-billing,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,1,D0,CONTINUE,124,12,1,0.988359099952504,qwen3:0.6b,1,0,0,compact_explicit,1,CONTINUE,597,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""CONTINUE""}",71,flat,0
C1_FULL,c1-billing,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,0,D0,MATERIALIZE_FULL,124,13,0,1.458456200081855,qwen3:0.6b,1,0,1,semantic_omission,0,CONTINUE,430,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"": ""CONTINUE""}",11,flat,0
C1_FULL,c1-billing,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,0,D0,MATERIALIZE_FULL,124,13,0,1.0412389999255538,qwen3:0.6b,1,0,1,semantic_omission,0,CONTINUE,430,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"": ""CONTINUE""}",23,flat,0
C1_FULL,c1-billing,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,0,D0,MATERIALIZE_FULL,124,13,0,0.9363313999492675,qwen3:0.6b,1,0,1,semantic_omission,0,CONTINUE,430,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"": ""CONTINUE""}",37,flat,0
C1_FULL,c1-billing,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,0,D0,MATERIALIZE_FULL,124,13,0,0.7663171999156475,qwen3:0.6b,1,0,1,semantic_omission,0,CONTINUE,430,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"": ""CONTINUE""}",53,flat,0
C1_FULL,c1-billing,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,0,D0,MATERIALIZE_FULL,124,13,0,0.7692107998300344,qwen3:0.6b,1,0,1,semantic_omission,0,CONTINUE,430,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"": ""CONTINUE""}",71,flat,0
