task_id,seed,baseline,success,answer,expected_answer,cursor_operations,wrong_cursor_operations,model_calls,cursor_calls,bytes_transferred,materialized_bytes,rows_transferred
critical-latency-mean,11,full,0,0.0,830.0,[],0,1,0,3474,3959,60
critical-latency-mean,11,recall,0,100.0,830.0,[],0,1,0,6948,7918,120
critical-latency-mean,11,cursor,0,,830.0,"[""filter"", ""aggregate""]",2,3,1,12,12,1
critical-latency-mean,11,compact,0,29.5,830.0,[],0,1,0,486,0,0
critical-latency-mean,23,full,0,0.0,830.0,[],0,1,0,3474,3959,60
critical-latency-mean,23,recall,0,100.0,830.0,[],0,1,0,6948,7918,120
critical-latency-mean,23,cursor,0,,830.0,"[""filter"", ""aggregate""]",2,3,1,12,12,1
critical-latency-mean,23,compact,0,29.5,830.0,[],0,1,0,486,0,0
critical-latency-mean,37,full,0,0.0,830.0,[],0,1,0,3474,3959,60
critical-latency-mean,37,recall,0,100.0,830.0,[],0,1,0,6948,7918,120
critical-latency-mean,37,cursor,0,,830.0,"[""filter"", ""aggregate""]",2,3,1,12,12,1
critical-latency-mean,37,compact,0,29.5,830.0,[],0,1,0,486,0,0
critical-latency-mean,53,full,0,0.0,830.0,[],0,1,0,3474,3959,60
critical-latency-mean,53,recall,0,100.0,830.0,[],0,1,0,6948,7918,120
critical-latency-mean,53,cursor,0,,830.0,"[""filter"", ""aggregate""]",2,3,1,12,12,1
critical-latency-mean,53,compact,0,29.5,830.0,[],0,1,0,486,0,0
critical-latency-mean,71,full,0,0.0,830.0,[],0,1,0,3474,3959,60
critical-latency-mean,71,recall,0,100.0,830.0,[],0,1,0,6948,7918,120
critical-latency-mean,71,cursor,0,,830.0,"[""filter"", ""aggregate""]",2,3,1,12,12,1
critical-latency-mean,71,compact,0,29.5,830.0,[],0,1,0,486,0,0
violation-retry-mean,11,full,0,0.0,8.0,[],0,1,0,5049,5694,80
violation-retry-mean,11,recall,0,10.0,8.0,[],0,1,0,10098,11388,160
violation-retry-mean,11,cursor,0,,8.0,"[""filter"", ""aggregate""]",1,3,1,67,67,1
violation-retry-mean,11,compact,0,1.425,8.0,[],0,1,0,497,0,0
violation-retry-mean,23,full,0,0.0,8.0,[],0,1,0,5049,5694,80
violation-retry-mean,23,recall,0,10.0,8.0,[],0,1,0,10098,11388,160
violation-retry-mean,23,cursor,0,,8.0,"[""filter"", ""aggregate""]",1,3,1,67,67,1
violation-retry-mean,23,compact,0,1.425,8.0,[],0,1,0,497,0,0
violation-retry-mean,37,full,0,0.0,8.0,[],0,1,0,5049,5694,80
violation-retry-mean,37,recall,0,10.0,8.0,[],0,1,0,10098,11388,160
violation-retry-mean,37,cursor,0,,8.0,"[""filter"", ""aggregate""]",1,3,1,67,67,1
violation-retry-mean,37,compact,0,1.425,8.0,[],0,1,0,497,0,0
violation-retry-mean,53,full,0,0.0,8.0,[],0,1,0,5049,5694,80
violation-retry-mean,53,recall,0,10.0,8.0,[],0,1,0,10098,11388,160
violation-retry-mean,53,cursor,0,,8.0,"[""filter"", ""aggregate""]",1,3,1,67,67,1
violation-retry-mean,53,compact,0,1.425,8.0,[],0,1,0,497,0,0
violation-retry-mean,71,full,0,0.0,8.0,[],0,1,0,5049,5694,80
violation-retry-mean,71,recall,0,10.0,8.0,[],0,1,0,10098,11388,160
violation-retry-mean,71,cursor,0,,8.0,"[""filter"", ""aggregate""]",1,3,1,67,67,1
violation-retry-mean,71,compact,0,1.425,8.0,[],0,1,0,497,0,0
overflow-queue-mean,11,full,0,100.0,105.0,[],0,1,0,4397,4962,70
overflow-queue-mean,11,recall,0,100.0,105.0,[],0,1,0,8794,9924,140
overflow-queue-mean,11,cursor,0,,105.0,"[""filter"", ""aggregate""]",1,3,1,83,83,1
overflow-queue-mean,11,compact,0,34.5,105.0,[],0,1,0,506,0,0
overflow-queue-mean,23,full,0,100.0,105.0,[],0,1,0,4397,4962,70
overflow-queue-mean,23,recall,0,100.0,105.0,[],0,1,0,8794,9924,140
overflow-queue-mean,23,cursor,0,,105.0,"[""filter"", ""aggregate""]",1,3,1,83,83,1
overflow-queue-mean,23,compact,0,34.5,105.0,[],0,1,0,506,0,0
overflow-queue-mean,37,full,0,100.0,105.0,[],0,1,0,4397,4962,70
overflow-queue-mean,37,recall,0,100.0,105.0,[],0,1,0,8794,9924,140
overflow-queue-mean,37,cursor,0,,105.0,"[""filter"", ""aggregate""]",1,3,1,83,83,1
overflow-queue-mean,37,compact,0,34.5,105.0,[],0,1,0,506,0,0
overflow-queue-mean,53,full,0,100.0,105.0,[],0,1,0,4397,4962,70
overflow-queue-mean,53,recall,0,100.0,105.0,[],0,1,0,8794,9924,140
overflow-queue-mean,53,cursor,0,,105.0,"[""filter"", ""aggregate""]",1,3,1,83,83,1
overflow-queue-mean,53,compact,0,34.5,105.0,[],0,1,0,506,0,0
overflow-queue-mean,71,full,0,100.0,105.0,[],0,1,0,4397,4962,70
overflow-queue-mean,71,recall,0,100.0,105.0,[],0,1,0,8794,9924,140
overflow-queue-mean,71,cursor,0,,105.0,"[""filter"", ""aggregate""]",1,3,1,83,83,1
overflow-queue-mean,71,compact,0,34.5,105.0,[],0,1,0,506,0,0
