payload_tokens,condition,runs,native_index_state,native_index_latency_ms_median,native_index_latency_ms_mean,agent_compression_ttuc_ms_median,agent_compression_ttuc_ms_mean,time_to_usable_context_ms_median,time_to_usable_context_ms_mean,cheap_search_latency_ms_median,cheap_search_latency_ms_mean,selected_region_native_latency_ms_median,selected_region_native_latency_ms_mean,selected_region_tokens_median,selected_region_tokens_mean,cheap_index_bytes_median,cheap_index_bytes_mean,routing_index_bytes_median,routing_index_bytes_mean,resident_detail_kv_bytes_median,resident_detail_kv_bytes_mean,active_kv_tokens_median,active_kv_tokens_mean,evidence_recall_median,evidence_recall_mean
16384,CURSOR_SEARCH_ONLY,5,SKIPPED_SIZE_LIMIT,0.0,0.0,75.20950003527105,73.01771999336779,80.55950002744794,78.30288000404835,63.407399924471974,62.28959998115897,0.0,0.0,0.0,0.0,14005.0,14005.0,768.0,768.0,86016.0,86016.0,272.0,272.0,1.0,1.0
16384,FULL_BODY_NATIVE,5,BUILT,45.415200060233474,45.08417993783951,70.47299994155765,70.38114001043141,206.36640000157058,208.99446001276374,17.84290000796318,17.836660053581,0.0,0.0,0.0,0.0,14005.0,14005.0,33536.0,33536.0,4277760.0,4277760.0,272.0,272.0,1.0,1.0
16384,SIZE_GATED_CHEAP,5,SKIPPED_SIZE_LIMIT,0.0,0.0,70.25190000422299,74.1633600089699,74.07659990713,78.3075399696827,68.0004998575896,70.9477799013257,0.0,0.0,0.0,0.0,14005.0,14005.0,768.0,768.0,86016.0,86016.0,272.0,272.0,1.0,1.0
16384,SIZE_GATED_LAZY_NATIVE,5,SKIPPED_SIZE_LIMIT,0.0,0.0,72.59700004942715,70.63855999149382,76.86020014807582,75.6411200389266,65.87620009668171,64.79175998829305,1.5849999617785215,1.7079800367355347,32.0,32.0,14005.0,14005.0,896.0,896.0,94208.0,94208.0,32.0,32.0,1.0,1.0
65536,CURSOR_SEARCH_ONLY,5,SKIPPED_SIZE_LIMIT,0.0,0.0,251.05349998921156,250.66838008351624,257.42839998565614,256.96510006673634,82.01549993827939,85.37087999284267,0.0,0.0,0.0,0.0,14005.0,14005.0,768.0,768.0,86016.0,86016.0,272.0,272.0,1.0,1.0
65536,FULL_BODY_NATIVE,5,BUILT,174.30329998023808,154.45713996887207,234.37489988282323,229.48328000493348,592.0431998092681,532.4741200078279,62.59079999290407,56.806719955056906,0.0,0.0,0.0,0.0,14005.0,14005.0,131840.0,131840.0,16860672.0,16860672.0,272.0,272.0,1.0,1.0
65536,SIZE_GATED_CHEAP,5,SKIPPED_SIZE_LIMIT,0.0,0.0,241.9724001083523,244.89146005362272,248.8242001272738,250.4329000134021,79.406299861148,81.47309999912977,0.0,0.0,0.0,0.0,14005.0,14005.0,768.0,768.0,86016.0,86016.0,272.0,272.0,1.0,1.0
65536,SIZE_GATED_LAZY_NATIVE,5,SKIPPED_SIZE_LIMIT,0.0,0.0,252.03719991259277,254.52609998174012,257.37129990011454,259.90607999265194,72.34190008603036,73.40155998244882,2.09950003772974,2.147440053522587,32.0,32.0,14005.0,14005.0,896.0,896.0,94208.0,94208.0,32.0,32.0,1.0,1.0
262144,CURSOR_SEARCH_ONLY,5,SKIPPED_SIZE_LIMIT,0.0,0.0,955.7145000435412,959.5732999965549,962.2035999782383,965.352619998157,250.77149993740022,238.0673399195075,0.0,0.0,0.0,0.0,14005.0,14005.0,768.0,768.0,86016.0,86016.0,272.0,272.0,1.0,1.0
262144,FULL_BODY_NATIVE,5,BUILT,693.5801999643445,687.4530599918216,927.1595999598503,1014.2200199887156,2223.4193000476807,2282.212999975309,255.4823998361826,237.52548000775278,0.0,0.0,0.0,0.0,14005.0,14005.0,525056.0,525056.0,67192320.0,67192320.0,272.0,272.0,1.0,1.0
262144,SIZE_GATED_CHEAP,5,SKIPPED_SIZE_LIMIT,0.0,0.0,956.2498999293894,965.9941200166941,961.5002998616546,972.045599995181,243.02890012040734,241.8232600670308,0.0,0.0,0.0,0.0,14005.0,14005.0,768.0,768.0,86016.0,86016.0,272.0,272.0,1.0,1.0
262144,SIZE_GATED_LAZY_NATIVE,5,SKIPPED_SIZE_LIMIT,0.0,0.0,954.7552999574691,957.9624200239778,960.2705999277532,962.9761599935591,266.76889997906983,272.1543200314045,2.780900103971362,2.871240023523569,32.0,32.0,14005.0,14005.0,896.0,896.0,94208.0,94208.0,32.0,32.0,1.0,1.0
