payload_tokens,condition,ttuc_ms_median,compact_ready_ms_median
1024,CURSOR_SEARCH_ONLY,21.459699841216207,14.858599985018373
1024,FULL_BODY_NATIVE,50.215200055390596,15.018000034615397
1024,SIZE_GATED_CHEAP,46.77120014093816,14.726100023835897
1024,SIZE_GATED_LAZY_NATIVE,45.81700009293854,14.317300170660019
4096,CURSOR_SEARCH_ONLY,31.44470020197332,24.912500055506825
4096,FULL_BODY_NATIVE,71.74629997462034,26.560600148513913
4096,SIZE_GATED_CHEAP,69.80370008386672,22.067700047045946
4096,SIZE_GATED_LAZY_NATIVE,66.3331001996994,22.281199926510453
16384,CURSOR_SEARCH_ONLY,80.55950002744794,75.20950003527105
16384,FULL_BODY_NATIVE,206.36640000157058,70.47299994155765
16384,SIZE_GATED_CHEAP,74.07659990713,70.25190000422299
16384,SIZE_GATED_LAZY_NATIVE,76.86020014807582,72.59700004942715
65536,CURSOR_SEARCH_ONLY,257.42839998565614,251.05349998921156
65536,FULL_BODY_NATIVE,592.0431998092681,234.37489988282323
65536,SIZE_GATED_CHEAP,248.8242001272738,241.9724001083523
65536,SIZE_GATED_LAZY_NATIVE,257.37129990011454,252.03719991259277
262144,CURSOR_SEARCH_ONLY,962.2035999782383,955.7145000435412
262144,FULL_BODY_NATIVE,2223.4193000476807,927.1595999598503
262144,SIZE_GATED_CHEAP,961.5002998616546,956.2498999293894
262144,SIZE_GATED_LAZY_NATIVE,960.2705999277532,954.7552999574691
