baseline,case_class,n,task_success,evidence_recall,mechanism_correct,under_expansion,over_expansion,materialized_tokens
CCR_TOOL,C0_CONTINUE,25,1.0,1.0,0.0,0.0,1.0,402.0
CCR_TOOL,C1_FULL,25,1.0,1.0,1.0,0.0,0.0,48.8
CCR_TOOL,C2_MORE,25,1.0,1.0,1.0,0.0,0.0,402.0
CCR_TOOL,C3_CURSOR,25,1.0,1.0,1.0,0.0,0.0,511.6
CCR_TOOL,C4_SEARCH,25,0.68,0.68,0.68,0.32,0.0,159.2
CCR_TOOL,C5_TOOL,25,0.0,0.0,1.0,1.0,0.0,26.4
COMPACT_ONLY,C0_CONTINUE,25,1.0,1.0,0.0,0.0,0.0,0.0
COMPACT_ONLY,C1_FULL,25,0.0,0.0,0.0,0.0,0.0,0.0
COMPACT_ONLY,C2_MORE,25,0.0,0.0,0.0,0.0,0.0,0.0
COMPACT_ONLY,C3_CURSOR,25,0.0,0.0,0.0,0.0,0.0,110.2
COMPACT_ONLY,C4_SEARCH,25,0.0,0.0,0.0,0.0,0.0,0.0
COMPACT_ONLY,C5_TOOL,25,0.0,0.0,0.0,0.0,0.0,0.0
FULL,C0_CONTINUE,25,1.0,1.0,0.0,0.0,0.0,402.0
FULL,C1_FULL,25,1.0,1.0,0.0,0.0,0.0,48.8
FULL,C2_MORE,25,1.0,1.0,0.0,0.0,0.0,402.0
FULL,C3_CURSOR,25,1.0,1.0,0.0,0.0,0.0,511.6
FULL,C4_SEARCH,25,1.0,1.0,0.0,0.0,0.0,234.0
FULL,C5_TOOL,25,1.0,1.0,0.0,0.0,0.0,0.0
MODEL_ESCALATION,C0_CONTINUE,25,1.0,1.0,1.0,0.0,0.0,0.0
MODEL_ESCALATION,C1_FULL,25,0.0,0.0,0.0,1.0,0.0,0.0
MODEL_ESCALATION,C2_MORE,25,1.0,1.0,0.0,0.0,0.0,402.0
MODEL_ESCALATION,C3_CURSOR,25,0.0,0.0,0.0,1.0,0.0,110.2
MODEL_ESCALATION,C4_SEARCH,25,0.0,0.0,0.0,1.0,0.0,0.0
MODEL_ESCALATION,C5_TOOL,25,0.0,0.0,0.0,1.0,0.0,5.2
PRA_AUTO,C0_CONTINUE,25,1.0,1.0,1.0,0.0,0.0,0.0
PRA_AUTO,C1_FULL,25,0.0,0.0,0.0,0.0,0.0,0.0
PRA_AUTO,C2_MORE,25,1.0,1.0,1.0,0.0,0.0,45.8
PRA_AUTO,C3_CURSOR,25,0.0,0.0,0.0,0.0,0.0,110.2
PRA_AUTO,C4_SEARCH,25,1.0,1.0,1.0,0.0,0.0,31.4
PRA_AUTO,C5_TOOL,25,0.0,0.0,0.0,0.0,0.0,0.0
PRA_PLUS_MODEL,C0_CONTINUE,25,1.0,1.0,1.0,0.0,0.0,0.0
PRA_PLUS_MODEL,C1_FULL,25,0.0,0.0,0.0,1.0,0.0,0.0
PRA_PLUS_MODEL,C2_MORE,25,1.0,1.0,0.0,0.0,0.0,447.2
PRA_PLUS_MODEL,C3_CURSOR,25,0.0,0.0,0.0,1.0,0.0,110.2
PRA_PLUS_MODEL,C4_SEARCH,25,1.0,1.0,1.0,0.0,0.0,31.4
PRA_PLUS_MODEL,C5_TOOL,25,0.0,0.0,0.0,1.0,0.0,5.2
