decision,frozen_observations,independent_cohorts,mean_quality_proxy,mean_saving_fraction,overlapping_observations_collapsed,reason,strategy
bounded_autonomous_probe,1,1,0.5454545454545454,0.05543194933428423,0,plausible information-preserving design; do not expand tasks until task quality passes,FULL;materialization=tool_structured_evidence;threshold=512
stop,1,1,0.6363636363636364,0.02057164668598607,0,proxy quality is below the absolute screening floor,all_h1_h2a_h2b_h3_h4@100%-ceiling;Kf=0;Kr=1;Kx=4
mechanism_only,1,1,0.9545454545454546,0.0030284919315550778,0,"retain to test a declared mechanism, not as a profile candidate",dag_certified_exclusion@100%-ceiling
stop,1,1,0.6818181818181818,0.013359516646660874,0,proxy quality is below the absolute screening floor,h1_search_consumed@100%-ceiling;Kf=0
stop,1,1,0.7272727272727273,0.009542511890472054,0,proxy quality is below the absolute screening floor,h1_search_consumed@100%-ceiling;Kf=4
stop,1,1,0.7727272727272727,0.007212130039325194,0,proxy quality is below the absolute screening floor,h2a_h3@100%-ceiling;Kr=1
stop,1,1,0.7727272727272727,0.004183638107770116,0,proxy quality is below the absolute screening floor,h2a_write_current_read@100%-ceiling
abstention_control,1,1,1.0,0.0,0,exact fail-closed arm with no observed saving,h2b_verified_write@100%-ceiling
mechanism_only,1,1,0.9545454545454546,0.0030284919315550778,0,"retain to test a declared mechanism, not as a profile candidate",h3_read_superseded@100%-ceiling;Kr=1
mechanism_only,1,1,0.5909090909090909,0.057104400102456446,0,"retain to test a declared mechanism, not as a profile candidate",h4_working_set@100%-ceiling;Kx=2
control_only,1,1,0.9545454545454546,0.0030586261796302526,0,retain as matched baseline; do not build combinations from it,matched_token_tail@matched-ceiling:35f52f58
control_only,1,1,0.8571428571428571,0.029187643244725656,0,retain as matched baseline; do not build combinations from it,matched_token_tail@matched-ceiling:678d9bf6
control_only,1,1,0.7272727272727273,0.027922341806169135,0,retain as matched baseline; do not build combinations from it,matched_token_tail@matched-ceiling:cfed863a
stop,1,1,0.5909090909090909,0.016388008578215953,0,proxy quality is below the absolute screening floor,safe2_h1_h3@100%-ceiling;Kf=0;Kr=1
stop,2,2,0.6038961038961039,0.027965829882523233,0,proxy quality is below the absolute screening floor,safe2_h1_h3@100%-ceiling;Kf=8;Kr=2
