adaptive_eligible,auxiliary_resolved,calls,cohort,decisions,divergence_right_censored_at,evidence_class,exact_command_rate,first_action_divergence,first_action_divergence_fraction,independence_key,model,official_resolved,quality_proxy,saving_fraction,source,strategy,strategy_coordinate,strategy_family,task_id,tool_calls,valid_action_rate
True,,,task03_negative_exclusion_seed0,23,23,frozen_next_action,1.0,,,e770f747c8b3081a4f0ba8675b4143ccfd80efbf14a1ea37a660e6d503ed1027,qwen3-coder:30b,,1.0,0.0,docs/papers/shared/results/paper8_5_agent_memory/frozen_task03_qwen30/comparison_seed0.json,FULL,FULL,full,scikit-learn__scikit-learn-13135,,0.9565217391304348
True,,,task03_negative_exclusion_seed0,23,,frozen_next_action,0.9545454545454546,21,,e770f747c8b3081a4f0ba8675b4143ccfd80efbf14a1ea37a660e6d503ed1027,qwen3-coder:30b,,0.9545454545454546,0.0030284919315550778,docs/papers/shared/results/paper8_5_agent_memory/frozen_task03_qwen30/comparison_seed0.json,dag_certified_exclusion@100%-ceiling;seed=0,dag_certified_exclusion@100%-ceiling,dag_certified_exclusion,scikit-learn__scikit-learn-13135,,0.9565217391304348
True,,,task03_negative_exclusion_seed0,23,,frozen_next_action,0.9545454545454546,21,,e770f747c8b3081a4f0ba8675b4143ccfd80efbf14a1ea37a660e6d503ed1027,qwen3-coder:30b,,0.9545454545454546,0.0030586261796302526,docs/papers/shared/results/paper8_5_agent_memory/frozen_task03_qwen30/comparison_seed0.json,matched_token_tail@matched-ceiling:35f52f58;seed=0,matched_token_tail@matched-ceiling:35f52f58,matched_token_tail,scikit-learn__scikit-learn-13135,,1.0
True,,,task03_negative_exclusion_seed0,23,,frozen_next_action,0.5909090909090909,13,,e770f747c8b3081a4f0ba8675b4143ccfd80efbf14a1ea37a660e6d503ed1027,qwen3-coder:30b,,0.6818181818181818,0.013359516646660874,docs/papers/shared/results/paper8_5_agent_memory/frozen_task03_qwen30/comparison_seed0.json,h1_search_consumed@100%-ceiling;Kf=0;seed=0,h1_search_consumed@100%-ceiling;Kf=0,h1_search_consumed,scikit-learn__scikit-learn-13135,,0.9565217391304348
True,,,task03_negative_exclusion_seed0,23,,frozen_next_action,0.6818181818181818,16,,e770f747c8b3081a4f0ba8675b4143ccfd80efbf14a1ea37a660e6d503ed1027,qwen3-coder:30b,,0.7272727272727273,0.009542511890472054,docs/papers/shared/results/paper8_5_agent_memory/frozen_task03_qwen30/comparison_seed0.json,h1_search_consumed@100%-ceiling;Kf=4;seed=0,h1_search_consumed@100%-ceiling;Kf=4,h1_search_consumed,scikit-learn__scikit-learn-13135,,0.9565217391304348
True,,,task03_negative_exclusion_seed0,23,,frozen_next_action,0.7727272727272727,17,,e770f747c8b3081a4f0ba8675b4143ccfd80efbf14a1ea37a660e6d503ed1027,qwen3-coder:30b,,0.7727272727272727,0.004183638107770116,docs/papers/shared/results/paper8_5_agent_memory/frozen_task03_qwen30/comparison_seed0.json,h2a_write_current_read@100%-ceiling;seed=0,h2a_write_current_read@100%-ceiling,h2a_write_current_read,scikit-learn__scikit-learn-13135,,0.9565217391304348
True,,,task03_negative_exclusion_seed0,23,23,frozen_next_action,1.0,,,e770f747c8b3081a4f0ba8675b4143ccfd80efbf14a1ea37a660e6d503ed1027,qwen3-coder:30b,,1.0,0.0,docs/papers/shared/results/paper8_5_agent_memory/frozen_task03_qwen30/comparison_seed0.json,h2b_verified_write@100%-ceiling;seed=0,h2b_verified_write@100%-ceiling,h2b_verified_write,scikit-learn__scikit-learn-13135,,0.9565217391304348
True,,,task03_negative_exclusion_seed0,23,,frozen_next_action,0.9545454545454546,21,,e770f747c8b3081a4f0ba8675b4143ccfd80efbf14a1ea37a660e6d503ed1027,qwen3-coder:30b,,0.9545454545454546,0.0030284919315550778,docs/papers/shared/results/paper8_5_agent_memory/frozen_task03_qwen30/comparison_seed0.json,h3_read_superseded@100%-ceiling;Kr=1;seed=0,h3_read_superseded@100%-ceiling;Kr=1,h3_read_superseded,scikit-learn__scikit-learn-13135,,0.9565217391304348
True,,,task03_negative_exclusion_seed0,23,,frozen_next_action,0.5454545454545454,9,,e770f747c8b3081a4f0ba8675b4143ccfd80efbf14a1ea37a660e6d503ed1027,qwen3-coder:30b,,0.5909090909090909,0.057104400102456446,docs/papers/shared/results/paper8_5_agent_memory/frozen_task03_qwen30/comparison_seed0.json,h4_working_set@100%-ceiling;Kx=2;seed=0,h4_working_set@100%-ceiling;Kx=2,h4_working_set,scikit-learn__scikit-learn-13135,,1.0
True,,,task03_negative_exclusion_seed0,23,,frozen_next_action,0.5454545454545454,12,,e770f747c8b3081a4f0ba8675b4143ccfd80efbf14a1ea37a660e6d503ed1027,qwen3-coder:30b,,0.5909090909090909,0.016388008578215953,docs/papers/shared/results/paper8_5_agent_memory/frozen_task03_qwen30/comparison_seed0.json,safe2_h1_h3@100%-ceiling;Kf=0;Kr=1;seed=0,safe2_h1_h3@100%-ceiling;Kf=0;Kr=1,safe2_h1_h3,scikit-learn__scikit-learn-13135,,1.0
