case_id,downstream_record_recall,edge_f1,edge_precision,edge_recall,family,generated_tokens,generation_seconds,mode,model,model_calls,parse_failure,protocol,response,revision,seed,task_count_error,task_precision,task_recall,validation_failure
atomic-n1-r3-s11,1.0,1.0,1.0,1.0,atomic,55,9.630345900077373,online_tools,Qwen/Qwen3-0.6B,1,0,paper8-task-management-roadmap-v1,"```json
{
  ""operations"": [
    {
      ""action"": ""create"",
      ""task_id"": ""t0"",
      ""description"": ""Resolve shared project status for scope t0 independently."",
      ""depends_on"": []
    }
  ]
}
```",c1899de289a04d12100db370d81485cdf75e47ca,11,0,1.0,1.0,0
atomic-n1-r3-s23,1.0,1.0,1.0,1.0,atomic,55,9.712272200034931,online_tools,Qwen/Qwen3-0.6B,1,0,paper8-task-management-roadmap-v1,"```json
{
  ""operations"": [
    {
      ""action"": ""create"",
      ""task_id"": ""t0"",
      ""description"": ""Resolve shared project status for scope t0 independently."",
      ""depends_on"": []
    }
  ]
}
```",c1899de289a04d12100db370d81485cdf75e47ca,23,0,1.0,1.0,0
atomic-n1-r3-s37,1.0,1.0,1.0,1.0,atomic,55,9.642296199919656,online_tools,Qwen/Qwen3-0.6B,1,0,paper8-task-management-roadmap-v1,"```json
{
  ""operations"": [
    {
      ""action"": ""create"",
      ""task_id"": ""t0"",
      ""description"": ""Resolve shared project status for scope t0 independently."",
      ""depends_on"": []
    }
  ]
}
```",c1899de289a04d12100db370d81485cdf75e47ca,37,0,1.0,1.0,0
atomic-n1-r3-s53,1.0,1.0,1.0,1.0,atomic,55,10.20928749977611,online_tools,Qwen/Qwen3-0.6B,1,0,paper8-task-management-roadmap-v1,"```json
{
  ""operations"": [
    {
      ""action"": ""create"",
      ""task_id"": ""t0"",
      ""description"": ""Resolve shared project status for scope t0 independently."",
      ""depends_on"": []
    }
  ]
}
```",c1899de289a04d12100db370d81485cdf75e47ca,53,0,1.0,1.0,0
atomic-n1-r3-s71,1.0,1.0,1.0,1.0,atomic,55,9.558152899844572,online_tools,Qwen/Qwen3-0.6B,1,0,paper8-task-management-roadmap-v1,"```json
{
  ""operations"": [
    {
      ""action"": ""create"",
      ""task_id"": ""t0"",
      ""description"": ""Resolve shared project status for scope t0 independently."",
      ""depends_on"": []
    }
  ]
}
```",c1899de289a04d12100db370d81485cdf75e47ca,71,0,1.0,1.0,0
linear-n4-r3-s11,1.0,1.0,1.0,1.0,linear,193,33.85631400020793,online_tools,Qwen/Qwen3-0.6B,1,0,paper8-task-management-roadmap-v1,"```json
{
  ""operations"": [
    {
      ""action"": ""create"",
      ""task_id"": ""t0"",
      ""description"": ""Resolve shared project status for scope t0 independently."",
      ""depends_on"": []
    },
    {
      ""action"": ""create"",
      ""task_id"": ""t1"",
      ""description"": ""Resolve shared project status for scope t1 after t0."",
      ""depends_on"": [""t0""]
    },
    {
      ""action"": ""create"",
      ""task_id"": ""t2"",
      ""description"": ""Resolve shared project status for scope t2 after t1."",
      ""depends_on"": [""t1""]
    },
    {
      ""action"": ""create"",
      ""task_id"": ""t3"",
      ""description"": ""Resolve shared project status for scope t3 after t2."",
      ""depends_on"": [""t2""]
    }
  ]
}
```",c1899de289a04d12100db370d81485cdf75e47ca,11,0,1.0,1.0,0
linear-n4-r3-s23,1.0,1.0,1.0,1.0,linear,193,32.85553910001181,online_tools,Qwen/Qwen3-0.6B,1,0,paper8-task-management-roadmap-v1,"```json
{
  ""operations"": [
    {
      ""action"": ""create"",
      ""task_id"": ""t0"",
      ""description"": ""Resolve shared project status for scope t0 independently."",
      ""depends_on"": []
    },
    {
      ""action"": ""create"",
      ""task_id"": ""t1"",
      ""description"": ""Resolve shared project status for scope t1 after t0."",
      ""depends_on"": [""t0""]
    },
    {
      ""action"": ""create"",
      ""task_id"": ""t2"",
      ""description"": ""Resolve shared project status for scope t2 after t1."",
      ""depends_on"": [""t1""]
    },
    {
      ""action"": ""create"",
      ""task_id"": ""t3"",
      ""description"": ""Resolve shared project status for scope t3 after t2."",
      ""depends_on"": [""t2""]
    }
  ]
}
```",c1899de289a04d12100db370d81485cdf75e47ca,23,0,1.0,1.0,0
linear-n4-r3-s37,1.0,1.0,1.0,1.0,linear,193,33.5991024998948,online_tools,Qwen/Qwen3-0.6B,1,0,paper8-task-management-roadmap-v1,"```json
{
  ""operations"": [
    {
      ""action"": ""create"",
      ""task_id"": ""t0"",
      ""description"": ""Resolve shared project status for scope t0 independently."",
      ""depends_on"": []
    },
    {
      ""action"": ""create"",
      ""task_id"": ""t1"",
      ""description"": ""Resolve shared project status for scope t1 after t0."",
      ""depends_on"": [""t0""]
    },
    {
      ""action"": ""create"",
      ""task_id"": ""t2"",
      ""description"": ""Resolve shared project status for scope t2 after t1."",
      ""depends_on"": [""t1""]
    },
    {
      ""action"": ""create"",
      ""task_id"": ""t3"",
      ""description"": ""Resolve shared project status for scope t3 after t2."",
      ""depends_on"": [""t2""]
    }
  ]
}
```",c1899de289a04d12100db370d81485cdf75e47ca,37,0,1.0,1.0,0
linear-n4-r3-s53,1.0,1.0,1.0,1.0,linear,193,32.88410610007122,online_tools,Qwen/Qwen3-0.6B,1,0,paper8-task-management-roadmap-v1,"```json
{
  ""operations"": [
    {
      ""action"": ""create"",
      ""task_id"": ""t0"",
      ""description"": ""Resolve shared project status for scope t0 independently."",
      ""depends_on"": []
    },
    {
      ""action"": ""create"",
      ""task_id"": ""t1"",
      ""description"": ""Resolve shared project status for scope t1 after t0."",
      ""depends_on"": [""t0""]
    },
    {
      ""action"": ""create"",
      ""task_id"": ""t2"",
      ""description"": ""Resolve shared project status for scope t2 after t1."",
      ""depends_on"": [""t1""]
    },
    {
      ""action"": ""create"",
      ""task_id"": ""t3"",
      ""description"": ""Resolve shared project status for scope t3 after t2."",
      ""depends_on"": [""t2""]
    }
  ]
}
```",c1899de289a04d12100db370d81485cdf75e47ca,53,0,1.0,1.0,0
linear-n4-r3-s71,1.0,1.0,1.0,1.0,linear,193,33.384685499826446,online_tools,Qwen/Qwen3-0.6B,1,0,paper8-task-management-roadmap-v1,"```json
{
  ""operations"": [
    {
      ""action"": ""create"",
      ""task_id"": ""t0"",
      ""description"": ""Resolve shared project status for scope t0 independently."",
      ""depends_on"": []
    },
    {
      ""action"": ""create"",
      ""task_id"": ""t1"",
      ""description"": ""Resolve shared project status for scope t1 after t0."",
      ""depends_on"": [""t0""]
    },
    {
      ""action"": ""create"",
      ""task_id"": ""t2"",
      ""description"": ""Resolve shared project status for scope t2 after t1."",
      ""depends_on"": [""t1""]
    },
    {
      ""action"": ""create"",
      ""task_id"": ""t3"",
      ""description"": ""Resolve shared project status for scope t3 after t2."",
      ""depends_on"": [""t2""]
    }
  ]
}
```",c1899de289a04d12100db370d81485cdf75e47ca,71,0,1.0,1.0,0
