condition,reference_tokens,query_tokens,query_position_offset,max_logit_error,mean_logit_error,visible_expected_rank,native_expected_rank,top_token_equal,layer,token_ids_hash,k_hash,v_hash,k_shape,v_shape,kv_heads,positions,max_k_error,mean_k_error,max_v_error,mean_v_error
E0_ONE_FULL_REFERENCE,7,9,7,0.0390625,0.007022857666015625,20,20,1,,,,,,,,,,,,
KV_IDENTITY,,,,,,,,,0,399b481b1d9facd5,b6827d4aeb20fa85,7f53b936bc09b60e,"[1, 8, 7, 128]","[1, 8, 7, 128]",8,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,0.0,0.0,0.0
KV_IDENTITY,,,,,,,,,1,399b481b1d9facd5,5a781769c0936d1e,e205ceb0bf18721d,"[1, 8, 7, 128]","[1, 8, 7, 128]",8,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,0.0,0.0,0.0
KV_IDENTITY,,,,,,,,,2,399b481b1d9facd5,ca67244d12bfd678,7e91241961a90951,"[1, 8, 7, 128]","[1, 8, 7, 128]",8,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,0.0,0.0,0.0
KV_IDENTITY,,,,,,,,,3,399b481b1d9facd5,ed1d0d8b97515b94,536de5371942938e,"[1, 8, 7, 128]","[1, 8, 7, 128]",8,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,0.0,0.0,0.0
KV_IDENTITY,,,,,,,,,4,399b481b1d9facd5,e1ab8e7728b98063,83a1e4e5abd06e71,"[1, 8, 7, 128]","[1, 8, 7, 128]",8,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,0.0,0.0,0.0
KV_IDENTITY,,,,,,,,,5,399b481b1d9facd5,ea260c570545fe62,1700da167db73515,"[1, 8, 7, 128]","[1, 8, 7, 128]",8,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,0.0,0.0,0.0
KV_IDENTITY,,,,,,,,,6,399b481b1d9facd5,88ccc978ae4eccbf,93dbc0e59b02d5ce,"[1, 8, 7, 128]","[1, 8, 7, 128]",8,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,0.0,0.0,0.0
KV_IDENTITY,,,,,,,,,7,399b481b1d9facd5,5d2fc47319499146,29b5df850bf0ee99,"[1, 8, 7, 128]","[1, 8, 7, 128]",8,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,0.0,0.0,0.0
KV_IDENTITY,,,,,,,,,8,399b481b1d9facd5,ef266be1395f3e15,0a390d2a927003c5,"[1, 8, 7, 128]","[1, 8, 7, 128]",8,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,0.0,0.0,0.0
KV_IDENTITY,,,,,,,,,9,399b481b1d9facd5,58ec83e209a28365,720844700cd07e08,"[1, 8, 7, 128]","[1, 8, 7, 128]",8,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,0.0,0.0,0.0
KV_IDENTITY,,,,,,,,,10,399b481b1d9facd5,dfea5b3b49d1654c,556c333d740e106b,"[1, 8, 7, 128]","[1, 8, 7, 128]",8,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,0.0,0.0,0.0
