corruption,policy,required_record_recall,candidate_records,widen_rate
clean,session,1.0,8,0
clean,task_adaptive,1.0,1.8,0
clean,task_structural,1.0,1.8,0
missing_dependency_edge,session,1.0,8,0
missing_dependency_edge,task_adaptive,1.0,8,1
missing_dependency_edge,task_structural,0.7,1,0
missing_record_tags,session,1.0,8,0
missing_record_tags,task_adaptive,1.0,8,1
missing_record_tags,task_structural,1.0,1.8,0
stale_record_tags,session,1.0,8,0
stale_record_tags,task_adaptive,1.0,8,1
stale_record_tags,task_structural,0.0,0.2,0
wrong_dependency_edge,session,1.0,8,0
wrong_dependency_edge,task_adaptive,1.0,8,1
wrong_dependency_edge,task_structural,0.7,2,0
