active_tokens,candidate_records,case_id,critical_path_depth,cross_task_contamination,edge_count,family,fork_count,join_complete,join_count,maximum_width,policy,record_budget,records_per_task,relevant_record_recall,scope_latency_us,seed,selected_records,task_count,total_records,useful_precision,widened
42,6,parallel-n2-r6-s11,1,0.0,0,parallel,0,1,0,2,task_local,2,6,1.0,806.8999741226435,11,2,2,12,0.5,0
42,6,parallel-n2-r6-s11,1,0.0,0,parallel,0,1,0,2,task_structural,2,6,1.0,769.0000347793102,11,2,2,12,0.5,0
42,6,parallel-n2-r6-s23,1,0.0,0,parallel,0,1,0,2,task_local,2,6,1.0,802.6999421417713,23,2,2,12,0.5,0
42,6,parallel-n2-r6-s23,1,0.0,0,parallel,0,1,0,2,task_structural,2,6,1.0,857.5001265853643,23,2,2,12,0.5,0
42,6,parallel-n2-r6-s37,1,0.0,0,parallel,0,1,0,2,task_local,2,6,1.0,541.3999315351248,37,2,2,12,0.5,0
42,6,parallel-n2-r6-s37,1,0.0,0,parallel,0,1,0,2,task_structural,2,6,1.0,503.0999891459942,37,2,2,12,0.5,0
42,6,parallel-n2-r6-s53,1,0.0,0,parallel,0,1,0,2,task_local,2,6,1.0,626.4001131057739,53,2,2,12,0.5,0
42,6,parallel-n2-r6-s53,1,0.0,0,parallel,0,1,0,2,task_structural,2,6,1.0,583.800021559,53,2,2,12,0.5,0
42,6,parallel-n2-r6-s71,1,0.0,0,parallel,0,1,0,2,task_local,2,6,1.0,1055.8001231402159,71,2,2,12,0.5,0
42,6,parallel-n2-r6-s71,1,0.0,0,parallel,0,1,0,2,task_structural,2,6,1.0,584.8000291734934,71,2,2,12,0.5,0
42,6,parallel-n4-r6-s11,1,0.0,0,parallel,0,1,0,4,task_local,2,6,1.0,985.6000542640686,11,2,4,24,0.5,0
42,6,parallel-n4-r6-s11,1,0.0,0,parallel,0,1,0,4,task_structural,2,6,1.0,973.7999644130468,11,2,4,24,0.5,0
42,6,parallel-n4-r6-s23,1,0.0,0,parallel,0,1,0,4,task_local,2,6,1.0,862.4999318271875,23,2,4,24,0.5,0
42,6,parallel-n4-r6-s23,1,0.0,0,parallel,0,1,0,4,task_structural,2,6,1.0,956.8999521434307,23,2,4,24,0.5,0
42,6,parallel-n4-r6-s37,1,0.0,0,parallel,0,1,0,4,task_local,2,6,1.0,1009.2000011354685,37,2,4,24,0.5,0
42,6,parallel-n4-r6-s37,1,0.0,0,parallel,0,1,0,4,task_structural,2,6,1.0,1086.000120267272,37,2,4,24,0.5,0
42,6,parallel-n4-r6-s53,1,0.0,0,parallel,0,1,0,4,task_local,2,6,1.0,1236.6001028567553,53,2,4,24,0.5,0
42,6,parallel-n4-r6-s53,1,0.0,0,parallel,0,1,0,4,task_structural,2,6,1.0,940.9000631421804,53,2,4,24,0.5,0
42,6,parallel-n4-r6-s71,1,0.0,0,parallel,0,1,0,4,task_local,2,6,1.0,1014.1001548618078,71,2,4,24,0.5,0
42,6,parallel-n4-r6-s71,1,0.0,0,parallel,0,1,0,4,task_structural,2,6,1.0,904.3999016284943,71,2,4,24,0.5,0
42,6,parallel-n8-r6-s11,1,0.0,0,parallel,0,1,0,8,task_local,2,6,1.0,1230.7001743465662,11,2,8,48,0.5,0
42,6,parallel-n8-r6-s11,1,0.0,0,parallel,0,1,0,8,task_structural,2,6,1.0,1219.7000905871391,11,2,8,48,0.5,0
42,6,parallel-n8-r6-s23,1,0.0,0,parallel,0,1,0,8,task_local,2,6,1.0,1603.8999892771244,23,2,8,48,0.5,0
42,6,parallel-n8-r6-s23,1,0.0,0,parallel,0,1,0,8,task_structural,2,6,1.0,1702.3999243974686,23,2,8,48,0.5,0
42,6,parallel-n8-r6-s37,1,0.0,0,parallel,0,1,0,8,task_local,2,6,1.0,1727.700000628829,37,2,8,48,0.5,0
42,6,parallel-n8-r6-s37,1,0.0,0,parallel,0,1,0,8,task_structural,2,6,1.0,1311.3999739289284,37,2,8,48,0.5,0
42,6,parallel-n8-r6-s53,1,0.0,0,parallel,0,1,0,8,task_local,2,6,1.0,2086.400054395199,53,2,8,48,0.5,0
42,6,parallel-n8-r6-s53,1,0.0,0,parallel,0,1,0,8,task_structural,2,6,1.0,2440.999960526824,53,2,8,48,0.5,0
42,6,parallel-n8-r6-s71,1,0.0,0,parallel,0,1,0,8,task_local,2,6,1.0,1647.1999697387218,71,2,8,48,0.5,0
42,6,parallel-n8-r6-s71,1,0.0,0,parallel,0,1,0,8,task_structural,2,6,1.0,1691.6999593377113,71,2,8,48,0.5,0
42,6,parallel-n16-r6-s11,1,0.0,0,parallel,0,1,0,16,task_local,2,6,1.0,1704.7999426722527,11,2,16,96,0.5,0
42,6,parallel-n16-r6-s11,1,0.0,0,parallel,0,1,0,16,task_structural,2,6,1.0,1851.7000135034323,11,2,16,96,0.5,0
42,6,parallel-n16-r6-s23,1,0.0,0,parallel,0,1,0,16,task_local,2,6,1.0,3633.399959653616,23,2,16,96,0.5,0
42,6,parallel-n16-r6-s23,1,0.0,0,parallel,0,1,0,16,task_structural,2,6,1.0,2652.000170201063,23,2,16,96,0.5,0
42,6,parallel-n16-r6-s37,1,0.0,0,parallel,0,1,0,16,task_local,2,6,1.0,3107.0001423358917,37,2,16,96,0.5,0
42,6,parallel-n16-r6-s37,1,0.0,0,parallel,0,1,0,16,task_structural,2,6,1.0,2708.3000168204308,37,2,16,96,0.5,0
42,6,parallel-n16-r6-s53,1,0.0,0,parallel,0,1,0,16,task_local,2,6,1.0,1786.2999811768532,53,2,16,96,0.5,0
42,6,parallel-n16-r6-s53,1,0.0,0,parallel,0,1,0,16,task_structural,2,6,1.0,1012.0999068021774,53,2,16,96,0.5,0
42,6,parallel-n16-r6-s71,1,0.0,0,parallel,0,1,0,16,task_local,2,6,1.0,3088.699886575341,71,2,16,96,0.5,0
42,6,parallel-n16-r6-s71,1,0.0,0,parallel,0,1,0,16,task_structural,2,6,1.0,2847.0000252127647,71,2,16,96,0.5,0
42,6,linear-n2-r6-s11,2,0.0,1,linear,0,0,0,1,task_local,2,6,0.5,760.9999738633633,11,2,2,12,0.5,0
42,12,linear-n2-r6-s11,2,0.0,1,linear,0,1,0,1,task_structural,2,6,1.0,935.6001392006874,11,2,2,12,1.0,0
42,6,linear-n2-r6-s23,2,0.0,1,linear,0,0,0,1,task_local,2,6,0.5,426.7999902367592,23,2,2,12,0.5,0
42,12,linear-n2-r6-s23,2,0.0,1,linear,0,1,0,1,task_structural,2,6,1.0,934.0997785329819,23,2,2,12,1.0,0
42,6,linear-n2-r6-s37,2,0.0,1,linear,0,0,0,1,task_local,2,6,0.5,708.8999263942242,37,2,2,12,0.5,0
42,12,linear-n2-r6-s37,2,0.0,1,linear,0,1,0,1,task_structural,2,6,1.0,3605.89986667037,37,2,2,12,1.0,0
42,6,linear-n2-r6-s53,2,0.0,1,linear,0,0,0,1,task_local,2,6,0.5,628.7000142037868,53,2,2,12,0.5,0
42,12,linear-n2-r6-s53,2,0.0,1,linear,0,1,0,1,task_structural,2,6,1.0,1198.1998104602098,53,2,2,12,1.0,0
42,6,linear-n2-r6-s71,2,0.0,1,linear,0,0,0,1,task_local,2,6,0.5,649.8999428004026,71,2,2,12,0.5,0
42,12,linear-n2-r6-s71,2,0.0,1,linear,0,1,0,1,task_structural,2,6,1.0,878.4998208284378,71,2,2,12,1.0,0
84,6,linear-n4-r6-s11,4,0.0,3,linear,0,0,0,1,task_local,4,6,0.25,1847.999868914485,11,4,4,24,0.25,0
84,24,linear-n4-r6-s11,4,0.0,3,linear,0,1,0,1,task_structural,4,6,1.0,1680.299872532487,11,4,4,24,1.0,0
84,6,linear-n4-r6-s23,4,0.0,3,linear,0,0,0,1,task_local,4,6,0.25,997.5000284612179,23,4,4,24,0.25,0
84,24,linear-n4-r6-s23,4,0.0,3,linear,0,1,0,1,task_structural,4,6,1.0,4156.599985435605,23,4,4,24,1.0,0
84,6,linear-n4-r6-s37,4,0.0,3,linear,0,0,0,1,task_local,4,6,0.25,1106.899930164218,37,4,4,24,0.25,0
84,24,linear-n4-r6-s37,4,0.0,3,linear,0,1,0,1,task_structural,4,6,1.0,2158.7000228464603,37,4,4,24,1.0,0
84,6,linear-n4-r6-s53,4,0.0,3,linear,0,0,0,1,task_local,4,6,0.25,989.4999675452709,53,4,4,24,0.25,0
84,24,linear-n4-r6-s53,4,0.0,3,linear,0,1,0,1,task_structural,4,6,1.0,1801.3999797403812,53,4,4,24,1.0,0
84,6,linear-n4-r6-s71,4,0.0,3,linear,0,0,0,1,task_local,4,6,0.25,1124.7999500483274,71,4,4,24,0.25,0
84,24,linear-n4-r6-s71,4,0.0,3,linear,0,1,0,1,task_structural,4,6,1.0,2281.0001391917467,71,4,4,24,1.0,0
126,6,linear-n8-r6-s11,8,0.0,7,linear,0,0,0,1,task_local,8,6,0.125,1588.7999907135963,11,6,8,48,0.16666666666666666,0
168,48,linear-n8-r6-s11,8,0.0,7,linear,0,1,0,1,task_structural,8,6,1.0,5284.500075504184,11,8,8,48,1.0,0
126,6,linear-n8-r6-s23,8,0.0,7,linear,0,0,0,1,task_local,8,6,0.125,654.6999793499708,23,6,8,48,0.16666666666666666,0
168,48,linear-n8-r6-s23,8,0.0,7,linear,0,1,0,1,task_structural,8,6,1.0,3049.899823963642,23,8,8,48,1.0,0
126,6,linear-n8-r6-s37,8,0.0,7,linear,0,0,0,1,task_local,8,6,0.125,1862.2998613864183,37,6,8,48,0.16666666666666666,0
168,48,linear-n8-r6-s37,8,0.0,7,linear,0,1,0,1,task_structural,8,6,1.0,4698.399920016527,37,8,8,48,1.0,0
126,6,linear-n8-r6-s53,8,0.0,7,linear,0,0,0,1,task_local,8,6,0.125,1175.2999853342772,53,6,8,48,0.16666666666666666,0
168,48,linear-n8-r6-s53,8,0.0,7,linear,0,1,0,1,task_structural,8,6,1.0,2159.1000258922577,53,8,8,48,1.0,0
126,6,linear-n8-r6-s71,8,0.0,7,linear,0,0,0,1,task_local,8,6,0.125,1714.6000172942877,71,6,8,48,0.16666666666666666,0
168,48,linear-n8-r6-s71,8,0.0,7,linear,0,1,0,1,task_structural,8,6,1.0,4420.999903231859,71,8,8,48,1.0,0
126,6,linear-n16-r6-s11,16,0.0,15,linear,0,0,0,1,task_local,8,6,0.1111111111111111,2701.5001978725195,11,6,16,96,0.16666666666666666,0
168,54,linear-n16-r6-s11,16,0.0,15,linear,0,0,0,1,task_structural,8,6,0.8888888888888888,5702.599883079529,11,8,16,96,1.0,0
126,6,linear-n16-r6-s23,16,0.0,15,linear,0,0,0,1,task_local,8,6,0.1111111111111111,2360.2000437676907,23,6,16,96,0.16666666666666666,0
168,54,linear-n16-r6-s23,16,0.0,15,linear,0,0,0,1,task_structural,8,6,0.8888888888888888,3932.5999096035957,23,8,16,96,1.0,0
126,6,linear-n16-r6-s37,16,0.0,15,linear,0,0,0,1,task_local,8,6,0.1111111111111111,2834.3000449240208,37,6,16,96,0.16666666666666666,0
168,54,linear-n16-r6-s37,16,0.0,15,linear,0,0,0,1,task_structural,8,6,0.8888888888888888,6167.299812659621,37,8,16,96,1.0,0
126,6,linear-n16-r6-s53,16,0.0,15,linear,0,0,0,1,task_local,8,6,0.1111111111111111,2865.999937057495,53,6,16,96,0.16666666666666666,0
168,54,linear-n16-r6-s53,16,0.0,15,linear,0,0,0,1,task_structural,8,6,0.8888888888888888,6095.099961385131,53,8,16,96,1.0,0
126,6,linear-n16-r6-s71,16,0.0,15,linear,0,0,0,1,task_local,8,6,0.1111111111111111,3689.0001501888037,71,6,16,96,0.16666666666666666,0
168,54,linear-n16-r6-s71,16,0.0,15,linear,0,0,0,1,task_structural,8,6,0.8888888888888888,5979.199893772602,71,8,16,96,1.0,0
42,6,join-n2-r6-s11,2,0.0,1,join,0,0,0,1,task_local,2,6,0.5,816.8001659214497,11,2,2,12,0.5,0
42,12,join-n2-r6-s11,2,0.0,1,join,0,1,0,1,task_structural,2,6,1.0,1060.5999268591404,11,2,2,12,1.0,0
42,6,join-n2-r6-s23,2,0.0,1,join,0,0,0,1,task_local,2,6,0.5,754.5999251306057,23,2,2,12,0.5,0
42,12,join-n2-r6-s23,2,0.0,1,join,0,1,0,1,task_structural,2,6,1.0,2596.3999796658754,23,2,2,12,1.0,0
42,6,join-n2-r6-s37,2,0.0,1,join,0,0,0,1,task_local,2,6,0.5,812.100013718009,37,2,2,12,0.5,0
42,12,join-n2-r6-s37,2,0.0,1,join,0,1,0,1,task_structural,2,6,1.0,1202.5998439639807,37,2,2,12,1.0,0
42,6,join-n2-r6-s53,2,0.0,1,join,0,0,0,1,task_local,2,6,0.5,716.0000968724489,53,2,2,12,0.5,0
42,12,join-n2-r6-s53,2,0.0,1,join,0,1,0,1,task_structural,2,6,1.0,4860.299872234464,53,2,2,12,1.0,0
42,6,join-n2-r6-s71,2,0.0,1,join,0,0,0,1,task_local,2,6,0.5,550.4000000655651,71,2,2,12,0.5,0
42,12,join-n2-r6-s71,2,0.0,1,join,0,1,0,1,task_structural,2,6,1.0,1064.700074493885,71,2,2,12,1.0,0
84,6,join-n4-r6-s11,2,0.0,3,join,0,0,1,3,task_local,4,6,0.25,1136.800041422248,11,4,4,24,0.25,0
84,24,join-n4-r6-s11,2,0.0,3,join,0,1,1,3,task_structural,4,6,1.0,2172.099892050028,11,4,4,24,1.0,0
84,6,join-n4-r6-s23,2,0.0,3,join,0,0,1,3,task_local,4,6,0.25,392.99996569752693,23,4,4,24,0.25,0
84,24,join-n4-r6-s23,2,0.0,3,join,0,1,1,3,task_structural,4,6,1.0,1093.599945306778,23,4,4,24,1.0,0
84,6,join-n4-r6-s37,2,0.0,3,join,0,0,1,3,task_local,4,6,0.25,1424.3999030441046,37,4,4,24,0.25,0
84,24,join-n4-r6-s37,2,0.0,3,join,0,1,1,3,task_structural,4,6,1.0,2294.400008395314,37,4,4,24,1.0,0
84,6,join-n4-r6-s53,2,0.0,3,join,0,0,1,3,task_local,4,6,0.25,1389.8001052439213,53,4,4,24,0.25,0
84,24,join-n4-r6-s53,2,0.0,3,join,0,1,1,3,task_structural,4,6,1.0,2249.700017273426,53,4,4,24,1.0,0
84,6,join-n4-r6-s71,2,0.0,3,join,0,0,1,3,task_local,4,6,0.25,672.1001118421555,71,4,4,24,0.25,0
84,24,join-n4-r6-s71,2,0.0,3,join,0,1,1,3,task_structural,4,6,1.0,1843.899954110384,71,4,4,24,1.0,0
126,6,join-n8-r6-s11,2,0.0,7,join,0,0,1,7,task_local,8,6,0.125,1527.7001075446606,11,6,8,48,0.16666666666666666,0
168,48,join-n8-r6-s11,2,0.0,7,join,0,1,1,7,task_structural,8,6,1.0,5135.100102052093,11,8,8,48,1.0,0
126,6,join-n8-r6-s23,2,0.0,7,join,0,0,1,7,task_local,8,6,0.125,1464.699860662222,23,6,8,48,0.16666666666666666,0
168,48,join-n8-r6-s23,2,0.0,7,join,0,1,1,7,task_structural,8,6,1.0,3329.1999716311693,23,8,8,48,1.0,0
126,6,join-n8-r6-s37,2,0.0,7,join,0,0,1,7,task_local,8,6,0.125,1981.1999518424273,37,6,8,48,0.16666666666666666,0
168,48,join-n8-r6-s37,2,0.0,7,join,0,1,1,7,task_structural,8,6,1.0,6511.099869385362,37,8,8,48,1.0,0
126,6,join-n8-r6-s53,2,0.0,7,join,0,0,1,7,task_local,8,6,0.125,1156.3999578356743,53,6,8,48,0.16666666666666666,0
168,48,join-n8-r6-s53,2,0.0,7,join,0,1,1,7,task_structural,8,6,1.0,4740.699892863631,53,8,8,48,1.0,0
126,6,join-n8-r6-s71,2,0.0,7,join,0,0,1,7,task_local,8,6,0.125,1592.0000150799751,71,6,8,48,0.16666666666666666,0
168,48,join-n8-r6-s71,2,0.0,7,join,0,1,1,7,task_structural,8,6,1.0,2588.8998061418533,71,8,8,48,1.0,0
126,6,join-n16-r6-s11,2,0.0,15,join,0,0,1,15,task_local,8,6,0.0625,4571.299999952316,11,6,16,96,0.16666666666666666,0
168,96,join-n16-r6-s11,2,0.0,15,join,0,0,1,15,task_structural,8,6,0.5,9445.099858567119,11,8,16,96,1.0,0
