seed,scheduler,children,wall_ms,physical_file_reads,logical_file_reads,orientation_reuses,candidate_records,source_bytes,dag_join_parents_visible,completed_peer_visible
11,sequential,11,18.24849983677268,13,35,22,11,234809,2,1
11,parallel,11,27.840800117701292,13,35,22,11,234809,2,1
23,sequential,11,16.889600083231926,13,35,22,11,234809,2,1
23,parallel,11,24.911600165069103,13,35,22,11,234809,2,1
37,sequential,11,18.974300008267164,13,35,22,11,234809,2,1
37,parallel,11,25.982600171118975,13,35,22,11,234809,2,1
71,sequential,11,18.207400105893612,13,35,22,11,234809,2,1
71,parallel,11,27.652999851852655,13,35,22,11,234809,2,1
101,sequential,11,25.51790000870824,13,35,22,11,234809,2,1
101,parallel,11,28.099399991333485,13,35,22,11,234809,2,1
