dataset,model_tier,split_count,candidate_references,k,selected_reference_fraction,target_coverage,all_targets_hit,artifact,encoding
hotpotqa,independent-encoding screen,32,31,1,0.03225806451612903,0.521875,0.521875,pra_parameter_sensitivity_topk.json,independent
hotpotqa,independent-encoding screen,32,31,2,0.06451612903225806,0.615625,0.615625,pra_parameter_sensitivity_topk.json,independent
hotpotqa,independent-encoding screen,32,31,4,0.12903225806451613,0.709375,0.709375,pra_parameter_sensitivity_topk.json,independent
hotpotqa,independent-encoding screen,32,31,8,0.25806451612903225,0.79375,0.79375,pra_parameter_sensitivity_topk.json,independent
hotpotqa,independent-encoding screen,32,31,16,0.5161290322580645,0.896875,0.896875,pra_parameter_sensitivity_topk.json,independent
hotpotqa,independent-encoding screen,32,31,32,1.0,1.0,1.0,pra_parameter_sensitivity_topk.json,independent
qasper,independent-encoding screen,32,31,1,0.03225806451612903,0.5,0.5,pra_parameter_sensitivity_topk.json,independent
qasper,independent-encoding screen,32,31,2,0.06451612903225806,0.578125,0.578125,pra_parameter_sensitivity_topk.json,independent
qasper,independent-encoding screen,32,31,4,0.12903225806451613,0.7,0.7,pra_parameter_sensitivity_topk.json,independent
qasper,independent-encoding screen,32,31,8,0.25806451612903225,0.878125,0.878125,pra_parameter_sensitivity_topk.json,independent
qasper,independent-encoding screen,32,31,16,0.5161290322580645,0.9,0.9,pra_parameter_sensitivity_topk.json,independent
qasper,independent-encoding screen,32,31,32,1.0,1.0,1.0,pra_parameter_sensitivity_topk.json,independent
