dataset,model_tier,position_mode,stage,layer_rankings,r_at_5pct,r_at_10pct,r_at_20pct,r_at_30pct,f80,f90,auc_0_30,recall_at_1,recall_at_3,kv_fraction_exact,endpoint_complete
hotpotqa,small,absolute,offset,240,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.7291666666666666,1.0,1.0,0.6307638888888888,0.6333333333333333,0.8208333333333333,True,True
hotpotqa,small,absolute,offset_overlap,240,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.7208333333333333,1.0,1.0,0.6263194444444444,0.6291666666666667,0.8125,True,True
hotpotqa,small,absolute,reset,240,0.5208333333333334,0.5208333333333334,0.5208333333333334,0.625,1.0,1.0,0.5208333333333335,0.5208333333333334,0.7458333333333333,True,True
hotpotqa,small,rope,offset,240,0.45416666666666666,0.45416666666666666,0.45416666666666666,0.5833333333333334,1.0,1.0,0.45736111111111116,0.45416666666666666,0.8125,True,True
hotpotqa,small,rope,offset_overlap,240,0.45416666666666666,0.45416666666666666,0.45416666666666666,0.5875,1.0,1.0,0.4577083333333334,0.45416666666666666,0.8083333333333333,True,True
hotpotqa,small,rope,reset,240,0.5458333333333333,0.5458333333333333,0.5458333333333333,0.7208333333333333,1.0,1.0,0.5513194444444445,0.5458333333333333,0.8625,True,True
hotpotqa,small,sinusoidal,offset,240,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.825,0.5,1.0,0.7737499999999999,0.7833333333333333,0.8708333333333333,True,True
hotpotqa,small,sinusoidal,offset_overlap,240,0.7791666666666667,0.7791666666666667,0.7791666666666667,0.8291666666666667,0.5,1.0,0.7703472222222222,0.7791666666666667,0.8666666666666667,True,True
hotpotqa,small,sinusoidal,reset,240,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.7625,1.0,1.0,0.6785416666666666,0.6833333333333333,0.8708333333333333,True,True
hotpotqa,tiny,absolute,offset,120,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.6916666666666667,1.0,1.0,0.522638888888889,0.5166666666666667,0.8916666666666667,True,True
hotpotqa,tiny,absolute,offset_overlap,120,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.6833333333333333,1.0,1.0,0.5219444444444445,0.5166666666666667,0.8833333333333333,True,True
hotpotqa,tiny,absolute,reset,120,0.31666666666666665,0.31666666666666665,0.31666666666666665,0.5333333333333333,1.0,1.0,0.3294444444444444,0.31666666666666665,0.725,True,True
hotpotqa,tiny,rope,offset,120,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.425,1.0,1.0,0.24541666666666667,0.23333333333333334,0.725,True,True
hotpotqa,tiny,rope,offset_overlap,120,0.225,0.225,0.225,0.43333333333333335,1.0,1.0,0.2386111111111111,0.225,0.7166666666666667,True,True
hotpotqa,tiny,rope,reset,120,0.3416666666666667,0.3416666666666667,0.3416666666666667,0.6333333333333333,1.0,1.0,0.36027777777777775,0.3416666666666667,0.8583333333333333,True,True
hotpotqa,tiny,sinusoidal,offset,120,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5833333333333334,1.0,1.0,0.34861111111111115,0.3333333333333333,0.725,True,True
hotpotqa,tiny,sinusoidal,offset_overlap,120,0.35833333333333334,0.35833333333333334,0.35833333333333334,0.5916666666666667,1.0,1.0,0.37180555555555556,0.35833333333333334,0.725,True,True
hotpotqa,tiny,sinusoidal,reset,120,0.35833333333333334,0.35833333333333334,0.35833333333333334,0.625,1.0,1.0,0.3745833333333334,0.35833333333333334,0.7916666666666666,True,True
