all_evidence_recall,any_evidence_recall,cohort,fraction,mechanism,recall,selected_chunk_fraction,selected_kv_token_fraction
0.0625,0.0625,representation-stage1-16,0.01,Post-RoPE K mean,0.0625,0.01676829779533607,
0.0625,0.0625,representation-stage1-16,0.02,Post-RoPE K mean,0.0625,0.025647839986935407,
0.125,0.125,representation-stage1-16,0.05,Post-RoPE K mean,0.125,0.05795980769819558,
0.125,0.125,representation-stage1-16,0.1,Post-RoPE K mean,0.125,0.10687690898298668,
0.1875,0.1875,representation-stage1-16,0.15,Post-RoPE K mean,0.1875,0.15536755178540887,
0.25,0.25,representation-stage1-16,0.2,Post-RoPE K mean,0.25,0.2056433487223739,
0.25,0.25,representation-stage1-16,0.25,Post-RoPE K mean,0.25,0.25611016737821746,
0.375,0.375,representation-stage1-16,0.3,Post-RoPE K mean,0.375,0.3060024816984761,
0.75,0.75,representation-stage1-16,0.5,Post-RoPE K mean,0.75,0.5035053885289237,
1.0,1.0,representation-stage1-16,1.0,Post-RoPE K mean,1.0,1.0,
0.25,0.25,representation-stage1-16,0.01,Pre-RoPE K mean,0.25,0.01676829779533607,
0.25,0.25,representation-stage1-16,0.02,Pre-RoPE K mean,0.25,0.025647839986935407,
0.375,0.375,representation-stage1-16,0.05,Pre-RoPE K mean,0.375,0.05795980769819558,
0.5625,0.5625,representation-stage1-16,0.1,Pre-RoPE K mean,0.5625,0.10687690898298668,
0.8125,0.8125,representation-stage1-16,0.15,Pre-RoPE K mean,0.8125,0.15536755178540887,
0.9375,0.9375,representation-stage1-16,0.2,Pre-RoPE K mean,0.9375,0.2056433487223739,
0.9375,0.9375,representation-stage1-16,0.25,Pre-RoPE K mean,0.9375,0.25611016737821746,
1.0,1.0,representation-stage1-16,0.3,Pre-RoPE K mean,1.0,0.3060024816984761,
1.0,1.0,representation-stage1-16,0.5,Pre-RoPE K mean,1.0,0.5035053885289237,
1.0,1.0,representation-stage1-16,1.0,Pre-RoPE K mean,1.0,1.0,
0.125,0.125,representation-stage1-16,0.01,Hidden-state mean,0.125,0.01676829779533607,
0.25,0.25,representation-stage1-16,0.02,Hidden-state mean,0.25,0.025647839986935407,
0.4375,0.4375,representation-stage1-16,0.05,Hidden-state mean,0.4375,0.05795980769819558,
0.625,0.625,representation-stage1-16,0.1,Hidden-state mean,0.625,0.10687690898298668,
0.625,0.625,representation-stage1-16,0.15,Hidden-state mean,0.625,0.15536755178540887,
0.625,0.625,representation-stage1-16,0.2,Hidden-state mean,0.625,0.2056433487223739,
0.6875,0.6875,representation-stage1-16,0.25,Hidden-state mean,0.6875,0.25611016737821746,
0.8125,0.8125,representation-stage1-16,0.3,Hidden-state mean,0.8125,0.3060024816984761,
1.0,1.0,representation-stage1-16,0.5,Hidden-state mean,1.0,0.5035053885289237,
1.0,1.0,representation-stage1-16,1.0,Hidden-state mean,1.0,1.0,
0.0625,0.0625,centered-rope-stage1-16,0.01,Centered-RoPE segment mean G=1,0.0625,0.01676829779533607,
0.0625,0.0625,centered-rope-stage1-16,0.02,Centered-RoPE segment mean G=1,0.0625,0.025647839986935407,
0.25,0.25,centered-rope-stage1-16,0.05,Centered-RoPE segment mean G=1,0.25,0.05795980769819558,
0.25,0.25,centered-rope-stage1-16,0.1,Centered-RoPE segment mean G=1,0.25,0.10687690898298668,
0.3125,0.3125,centered-rope-stage1-16,0.15,Centered-RoPE segment mean G=1,0.3125,0.15536755178540887,
0.375,0.375,centered-rope-stage1-16,0.2,Centered-RoPE segment mean G=1,0.375,0.2056433487223739,
0.4375,0.4375,centered-rope-stage1-16,0.25,Centered-RoPE segment mean G=1,0.4375,0.25611016737821746,
0.4375,0.4375,centered-rope-stage1-16,0.3,Centered-RoPE segment mean G=1,0.4375,0.3060024816984761,
0.5,0.5,centered-rope-stage1-16,0.5,Centered-RoPE segment mean G=1,0.5,0.5035053885289237,
1.0,1.0,centered-rope-stage1-16,1.0,Centered-RoPE segment mean G=1,1.0,1.0,
0.0625,0.0625,centered-rope-stage1-16,0.01,Centered-RoPE segment mean G=2,0.0625,0.01676829779533607,
0.0625,0.0625,centered-rope-stage1-16,0.02,Centered-RoPE segment mean G=2,0.0625,0.025647839986935407,
0.125,0.125,centered-rope-stage1-16,0.05,Centered-RoPE segment mean G=2,0.125,0.05795980769819558,
0.125,0.125,centered-rope-stage1-16,0.1,Centered-RoPE segment mean G=2,0.125,0.10687690898298668,
0.25,0.25,centered-rope-stage1-16,0.15,Centered-RoPE segment mean G=2,0.25,0.15536755178540887,
0.3125,0.3125,centered-rope-stage1-16,0.2,Centered-RoPE segment mean G=2,0.3125,0.2056433487223739,
0.3125,0.3125,centered-rope-stage1-16,0.25,Centered-RoPE segment mean G=2,0.3125,0.25611016737821746,
0.5,0.5,centered-rope-stage1-16,0.3,Centered-RoPE segment mean G=2,0.5,0.3060024816984761,
0.75,0.75,centered-rope-stage1-16,0.5,Centered-RoPE segment mean G=2,0.75,0.5035053885289237,
1.0,1.0,centered-rope-stage1-16,1.0,Centered-RoPE segment mean G=2,1.0,1.0,
0.0,0.0,centered-rope-stage1-16,0.01,Centered-RoPE segment mean G=4,0.0,0.01676829779533607,
0.0625,0.0625,centered-rope-stage1-16,0.02,Centered-RoPE segment mean G=4,0.0625,0.025647839986935407,
0.25,0.25,centered-rope-stage1-16,0.05,Centered-RoPE segment mean G=4,0.25,0.05795980769819558,
0.3125,0.3125,centered-rope-stage1-16,0.1,Centered-RoPE segment mean G=4,0.3125,0.10687690898298668,
0.3125,0.3125,centered-rope-stage1-16,0.15,Centered-RoPE segment mean G=4,0.3125,0.15536755178540887,
