all_evidence_recall,any_evidence_recall,fraction,mechanism,recall,selected_chunk_fraction,selected_kv_token_fraction
0.0,0.3125,0.01,Last-state cosine,0.06378720238095238,0.01808635851662008,0.018228647781536256
0.0,0.3125,0.02,Last-state cosine,0.06503720238095238,0.025929640667164567,0.026101050141125164
0.03125,0.53125,0.05,Last-state cosine,0.13626602564102563,0.0558751799351895,0.056253185442000225
0.03125,0.71875,0.1,Last-state cosine,0.2200091575091575,0.10475949143098322,0.10545433763508616
0.03125,0.8125,0.15,Last-state cosine,0.30437728937728936,0.15773540318371077,0.158795307495376
0.03125,0.875,0.2,Last-state cosine,0.3413123855311355,0.20555061913677228,0.20690621962473799
0.03125,0.875,0.25,Last-state cosine,0.3941775412087912,0.2542282055143855,0.2559160502901107
0.09375,0.90625,0.3,Last-state cosine,0.514840315934066,0.3063652300115562,0.3082778801481261
0.25,1.0,0.5,Last-state cosine,0.7055271291208791,0.5035634403611889,0.5053685158472645
1.0,1.0,1.0,Last-state cosine,1.0,1.0,1.0
0.0625,0.4375,0.01,Learned margin seed 53,0.1537202380952381,0.01808635851662008,0.01792260860852211
0.09375,0.59375,0.02,Learned margin seed 53,0.21068452380952382,0.025929640667164567,0.02579501096811102
0.09375,0.6875,0.05,Learned margin seed 53,0.27515682234432237,0.0558751799351895,0.05594714626898607
0.125,0.84375,0.1,Learned margin seed 53,0.356474358974359,0.10475949143098322,0.1044770113207106
0.1875,0.90625,0.15,Learned margin seed 53,0.42251602564102564,0.15773540318371077,0.157017242397837
0.21875,0.90625,0.2,Learned margin seed 53,0.44230082417582417,0.20555061913677228,0.20513925577053824
0.21875,1.0,0.25,Learned margin seed 53,0.5253743131868132,0.2542282055143855,0.25414133401715633
0.25,1.0,0.3,Learned margin seed 53,0.5665653617216118,0.3063652300115562,0.30662794995617576
0.3125,1.0,0.5,Learned margin seed 53,0.6917216117216117,0.5035634403611889,0.5024369807641265
1.0,1.0,1.0,Learned margin seed 53,1.0,1.0,1.0
