all_evidence_recall,any_evidence_recall,cohort,fraction,mechanism,recall,selected_chunk_fraction,selected_kv_token_fraction
0.125,0.125,representation-stage1-16,0.01,Post-RoPE K mean,0.125,0.01979639042267014,
0.125,0.125,representation-stage1-16,0.02,Post-RoPE K mean,0.125,0.0279011613348181,
0.25,0.25,representation-stage1-16,0.05,Post-RoPE K mean,0.25,0.06212113516261451,
0.25,0.25,representation-stage1-16,0.1,Post-RoPE K mean,0.25,0.10981868692010276,
0.375,0.375,representation-stage1-16,0.15,Post-RoPE K mean,0.375,0.157516238677591,
0.5,0.5,representation-stage1-16,0.2,Post-RoPE K mean,0.5,0.20793118173942704,
0.5,0.5,representation-stage1-16,0.25,Post-RoPE K mean,0.5,0.26032958819776997,
0.625,0.625,representation-stage1-16,0.3,Post-RoPE K mean,0.625,0.3080271399552582,
1.0,1.0,representation-stage1-16,0.5,Post-RoPE K mean,1.0,0.5058530960503892,
1.0,1.0,representation-stage1-16,1.0,Post-RoPE K mean,1.0,1.0,
0.375,0.375,representation-stage1-16,0.01,Pre-RoPE K mean,0.375,0.01979639042267014,
0.375,0.375,representation-stage1-16,0.02,Pre-RoPE K mean,0.375,0.0279011613348181,
0.5,0.5,representation-stage1-16,0.05,Pre-RoPE K mean,0.5,0.06212113516261451,
0.5,0.5,representation-stage1-16,0.1,Pre-RoPE K mean,0.5,0.10981868692010276,
0.75,0.75,representation-stage1-16,0.15,Pre-RoPE K mean,0.75,0.157516238677591,
0.875,0.875,representation-stage1-16,0.2,Pre-RoPE K mean,0.875,0.20793118173942704,
0.875,0.875,representation-stage1-16,0.25,Pre-RoPE K mean,0.875,0.26032958819776997,
1.0,1.0,representation-stage1-16,0.3,Pre-RoPE K mean,1.0,0.3080271399552582,
1.0,1.0,representation-stage1-16,0.5,Pre-RoPE K mean,1.0,0.5058530960503892,
1.0,1.0,representation-stage1-16,1.0,Pre-RoPE K mean,1.0,1.0,
0.125,0.125,representation-stage1-16,0.01,Hidden-state mean,0.125,0.01979639042267014,
0.25,0.25,representation-stage1-16,0.02,Hidden-state mean,0.25,0.0279011613348181,
0.5,0.5,representation-stage1-16,0.05,Hidden-state mean,0.5,0.06212113516261451,
0.625,0.625,representation-stage1-16,0.1,Hidden-state mean,0.625,0.10981868692010276,
0.625,0.625,representation-stage1-16,0.15,Hidden-state mean,0.625,0.157516238677591,
0.625,0.625,representation-stage1-16,0.2,Hidden-state mean,0.625,0.20793118173942704,
0.75,0.75,representation-stage1-16,0.25,Hidden-state mean,0.75,0.26032958819776997,
1.0,1.0,representation-stage1-16,0.3,Hidden-state mean,1.0,0.3080271399552582,
1.0,1.0,representation-stage1-16,0.5,Hidden-state mean,1.0,0.5058530960503892,
1.0,1.0,representation-stage1-16,1.0,Hidden-state mean,1.0,1.0,
0.125,0.125,centered-rope-stage1-16,0.01,Centered-RoPE segment mean G=1,0.125,0.01979639042267014,
0.125,0.125,centered-rope-stage1-16,0.02,Centered-RoPE segment mean G=1,0.125,0.0279011613348181,
0.5,0.5,centered-rope-stage1-16,0.05,Centered-RoPE segment mean G=1,0.5,0.06212113516261451,
0.5,0.5,centered-rope-stage1-16,0.1,Centered-RoPE segment mean G=1,0.5,0.10981868692010276,
0.625,0.625,centered-rope-stage1-16,0.15,Centered-RoPE segment mean G=1,0.625,0.157516238677591,
0.75,0.75,centered-rope-stage1-16,0.2,Centered-RoPE segment mean G=1,0.75,0.20793118173942704,
0.875,0.875,centered-rope-stage1-16,0.25,Centered-RoPE segment mean G=1,0.875,0.26032958819776997,
0.875,0.875,centered-rope-stage1-16,0.3,Centered-RoPE segment mean G=1,0.875,0.3080271399552582,
0.875,0.875,centered-rope-stage1-16,0.5,Centered-RoPE segment mean G=1,0.875,0.5058530960503892,
1.0,1.0,centered-rope-stage1-16,1.0,Centered-RoPE segment mean G=1,1.0,1.0,
0.125,0.125,centered-rope-stage1-16,0.01,Centered-RoPE segment mean G=2,0.125,0.01979639042267014,
0.125,0.125,centered-rope-stage1-16,0.02,Centered-RoPE segment mean G=2,0.125,0.0279011613348181,
0.25,0.25,centered-rope-stage1-16,0.05,Centered-RoPE segment mean G=2,0.25,0.06212113516261451,
0.25,0.25,centered-rope-stage1-16,0.1,Centered-RoPE segment mean G=2,0.25,0.10981868692010276,
0.375,0.375,centered-rope-stage1-16,0.15,Centered-RoPE segment mean G=2,0.375,0.157516238677591,
