auc_0_30,cohort,dataset,examples,f70,f80,f90,f95,mechanism
0.36874999999999997,representation-stage1-16,hotpotqa,8,0.5,0.5,0.5,0.5,Post-RoPE K mean
0.010416666666666664,representation-stage1-16,qasper,8,1.0,1.0,1.0,1.0,Post-RoPE K mean
0.18958333333333333,representation-stage1-16,combined,16,0.5,1.0,1.0,1.0,Post-RoPE K mean
0.6875,representation-stage1-16,hotpotqa,8,0.15,0.2,0.3,0.3,Pre-RoPE K mean
0.7125,representation-stage1-16,qasper,8,0.15,0.15,0.2,0.2,Pre-RoPE K mean
0.7,representation-stage1-16,combined,16,0.15,0.15,0.2,0.3,Pre-RoPE K mean
0.6083333333333333,representation-stage1-16,hotpotqa,8,0.25,0.3,0.3,0.3,Hidden-state mean
0.5395833333333333,representation-stage1-16,qasper,8,0.5,0.5,0.5,0.5,Hidden-state mean
0.5739583333333333,representation-stage1-16,combined,16,0.3,0.3,0.5,0.5,Hidden-state mean
0.6104166666666666,centered-rope-stage1-16,hotpotqa,8,0.2,0.25,1.0,1.0,Centered-RoPE segment mean G=1
0.0,centered-rope-stage1-16,qasper,8,1.0,1.0,1.0,1.0,Centered-RoPE segment mean G=1
0.3052083333333333,centered-rope-stage1-16,combined,16,1.0,1.0,1.0,1.0,Centered-RoPE segment mean G=1
0.37916666666666665,centered-rope-stage1-16,hotpotqa,8,0.3,0.5,1.0,1.0,Centered-RoPE segment mean G=2
0.08333333333333333,centered-rope-stage1-16,qasper,8,1.0,1.0,1.0,1.0,Centered-RoPE segment mean G=2
0.23124999999999998,centered-rope-stage1-16,combined,16,0.5,1.0,1.0,1.0,Centered-RoPE segment mean G=2
0.5187499999999999,centered-rope-stage1-16,hotpotqa,8,0.25,0.25,0.5,0.5,Centered-RoPE segment mean G=4
0.17083333333333334,centered-rope-stage1-16,qasper,8,0.5,1.0,1.0,1.0,Centered-RoPE segment mean G=4
0.34479166666666666,centered-rope-stage1-16,combined,16,0.5,0.5,1.0,1.0,Centered-RoPE segment mean G=4
0.6729166666666666,centered-rope-stage1-16,hotpotqa,8,0.15,0.2,0.5,0.5,Centered-RoPE segment mean G=8
0.1875,centered-rope-stage1-16,qasper,8,0.5,0.5,1.0,1.0,Centered-RoPE segment mean G=8
0.43020833333333336,centered-rope-stage1-16,combined,16,0.5,0.5,0.5,1.0,Centered-RoPE segment mean G=8
0.6885416666666666,segment-confirmation-64,hotpotqa,16,0.15,0.2,0.3,0.5,Hidden-state segment mean G=2
0.528125,segment-confirmation-64,qasper,16,0.25,0.25,1.0,1.0,Hidden-state segment mean G=2
0.6083333333333334,segment-confirmation-64,combined,32,0.2,0.25,0.5,1.0,Hidden-state segment mean G=2
0.6114583333333333,segment-confirmation-64,hotpotqa,16,0.2,0.25,0.3,0.5,Hidden-state segment mean G=4
0.5208333333333333,segment-confirmation-64,qasper,16,0.2,0.2,0.5,0.5,Hidden-state segment mean G=4
0.5661458333333333,segment-confirmation-64,combined,32,0.2,0.25,0.3,0.5,Hidden-state segment mean G=4
0.7010416666666668,segment-confirmation-64,hotpotqa,16,0.15,0.15,0.3,0.5,Hidden-state segment mean G=8
0.6677083333333332,segment-confirmation-64,qasper,16,0.15,0.25,0.25,0.5,Hidden-state segment mean G=8
0.684375,segment-confirmation-64,combined,32,0.15,0.2,0.25,0.5,Hidden-state segment mean G=8
0.6854166666666666,token-diagnostic-16,hotpotqa,8,0.15,0.3,0.5,0.5,Hidden-state token maximum
0.7541666666666668,token-diagnostic-16,qasper,8,0.15,0.15,0.15,0.15,Hidden-state token maximum
0.7197916666666667,token-diagnostic-16,combined,16,0.15,0.15,0.3,0.5,Hidden-state token maximum
0.8500000000000001,query-confirmation-32,hotpotqa,16,0.1,0.1,0.15,0.2,Last-state query
0.5989583333333334,query-confirmation-32,qasper,16,0.2,0.3,0.5,0.5,Last-state query
0.7244791666666667,query-confirmation-32,combined,32,0.1,0.15,0.3,0.5,Last-state query
0.7854166666666667,query-confirmation-32,hotpotqa,16,0.15,0.15,0.15,0.25,Uniform query W=32
0.6239583333333334,query-confirmation-32,qasper,16,0.2,0.2,0.25,1.0,Uniform query W=32
0.7046875,query-confirmation-32,combined,32,0.15,0.2,0.2,0.25,Uniform query W=32
0.7583333333333333,query-confirmation-32,hotpotqa,16,0.15,0.15,0.15,0.15,Question decay H=2
0.6666666666666666,query-confirmation-32,qasper,16,0.1,0.25,0.5,0.5,Question decay H=2
0.7125,query-confirmation-32,combined,32,0.1,0.15,0.25,0.5,Question decay H=2
0.7525000000000001,learned-test-32x5-seeds,hotpotqa,80,0.1,0.15,0.2,0.25,Learned margin adapter
0.9175,learned-test-32x5-seeds,qasper,80,0.02,0.05,0.1,0.1,Learned margin adapter
0.8349999999999999,learned-test-32x5-seeds,combined,160,0.1,0.1,0.15,0.2,Learned margin adapter
